"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-17 09:44:52,臺東縣,臺東市,高天,"我也這麼認為，因為男女根本不平等
女生跟免留宿人員不用站夜哨
其他男生卻每天苦等幸運之神 
希望今能不要有夜哨，可以回家陪陪家人
另外提一點，到時軍中一定會越來越多女性同仁。"
No.2,2017-11-17 12:56:34,臺南市,南區,阿章,讚
No.3,2017-11-17 13:19:04,苗栗縣,大湖鄉,奕,
No.4,2017-11-17 15:05:35,桃園市,桃園區,如,合理
No.5,2017-11-17 18:02:26,桃園市,桃園區,慶,
No.6,2017-11-17 18:59:08,新北市,土城區,Gida,
No.7,2017-11-17 19:37:55,基隆市,暖暖區,UW,
No.8,2017-11-17 22:01:39,臺北市,文山區,劉哥,軍人值勤太辛苦了，應該給
No.9,2017-11-17 23:30:00,嘉義縣,民雄鄉,阿權,此乃回歸特殊職業該有之報酬。
No.10,2017-11-18 02:02:43,屏東縣,屏東市,戰鬥瑪利亞,
