"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-19 12:08:44,臺南市,東區,小杜,"政府本來就要帶頭示範, 帶動全民響應使用電動車輛, 促進本國產業, 進而減少空氣污染情形"
No.2,2017-12-19 13:43:12,新北市,永和區,Ryan,
No.3,2017-12-19 13:52:26,基隆市,中正區,jichin,
No.4,2017-12-19 13:59:55,臺南市,仁德區,小陳,"讚成, 早就該這樣做了."
No.5,2017-12-19 22:36:34,高雄市,三民區,Alice Lin,
No.6,2017-12-19 23:47:58,雲林縣,斗南鎮,江大,
No.7,2017-12-20 11:09:57,基隆市,七堵區,CHIAHENG,
No.8,2017-12-21 11:30:49,臺南市,仁德區,台南市林,"百分之一百讚成, 振興經濟本來就要由政府本身率先做起."
No.9,2017-12-21 23:32:57,臺中市,清水區,阿發,
No.10,2017-12-22 19:53:13,高雄市,三民區,"alan huang ",
No.11,2017-12-25 14:17:25,新竹市,北區,梁小白,
No.12,2017-12-27 20:49:08,新北市,新莊區,Coco,從政府做起
No.13,2017-12-27 22:48:38,臺中市,南屯區,Benson,
No.14,2018-01-03 15:32:16,臺南市,白河區,璋,
No.15,2018-01-05 01:59:18,新竹市,東區,瑞奇,
No.16,2018-01-07 19:11:40,新北市,三重區,Vagabond,

