"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-03 07:59:50,高雄市,梓官區,小山,
No.2,2018-04-03 08:11:52,高雄市,梓官區,gtc,請盡力促成
No.3,2018-04-03 08:12:53,高雄市,林園區,Grace,
No.4,2018-04-03 08:16:48,高雄市,橋頭區,小云,
No.5,2018-04-03 08:24:41,高雄市,左營區,小高,政策請符合公平正義
No.6,2018-04-03 08:25:25,高雄市,岡山區,hibis,
No.7,2018-04-03 08:35:53,高雄市,岡山區,三郎,
No.8,2018-04-03 08:35:53,高雄市,橋頭區,大王,跟勞工一樣，退輔基金不應扣稅
No.9,2018-04-03 08:37:05,高雄市,梓官區,小甜甜,跟勞工一樣退撫基金不用扣稅
No.10,2018-04-03 08:38:18,高雄市,梓官區,貓頭鷹,跟勞工一樣，退撫基金免扣稅
No.11,2018-04-03 08:49:01,臺中市,太平區,阿枝,軍公教勞一視同仁
No.12,2018-04-03 09:06:05,高雄市,梓官區,li,支持免稅。
No.13,2018-04-03 09:25:00,高雄市,楠梓區,Mayzin,
No.14,2018-04-03 09:27:32,高雄市,梓官區,六分,
No.15,2018-04-03 09:41:20,高雄市,楠梓區,Ping,
No.16,2018-04-03 09:44:12,高雄市,楠梓區,阿慧慧,
No.17,2018-04-03 10:22:38,高雄市,甲仙區,大港,公平正義原則
No.18,2018-04-03 10:24:31,高雄市,阿蓮區,你老師,依照勞保，全國一致
No.19,2018-04-03 10:34:22,高雄市,仁武區,天蠍寶寶,自付額大家都一起免稅!
No.20,2018-04-03 10:44:55,高雄市,楠梓區,Sharon Chiou,追求公平合理制度
No.21,2018-04-03 12:35:35,臺南市,永康區,小s,
No.22,2018-04-03 13:06:11,高雄市,梓官區,小云,
No.23,2018-04-03 16:52:42,臺南市,東區,惠男,
No.24,2018-04-03 19:41:58,彰化縣,埤頭鄉,十分,
No.25,2018-04-03 21:21:17,屏東縣,枋山鄉,蔡小英,支持公平正義
No.26,2018-04-05 22:15:14,臺中市,豐原區,Ting,公平
No.27,2018-04-05 22:24:53,臺中市,豐原區,聰慶,
No.28,2018-04-06 00:14:06,臺中市,北屯區,Hung,支持
No.29,2018-04-06 00:30:45,彰化縣,花壇鄉,Akirano,符合公平原則
No.30,2018-04-06 12:36:21,臺中市,大雅區,Wun,
No.31,2018-04-06 14:05:34,臺中市,北屯區,小程,支持
No.32,2018-04-06 15:23:10,臺中市,西屯區,Stanley,
No.33,2018-04-06 15:50:18,雲林縣,元長鄉,安,
No.34,2018-04-06 16:57:42,高雄市,三民區,Yy,
No.35,2018-04-07 20:35:39,臺北市,文山區,林林,公平正義
No.36,2018-04-08 16:16:58,高雄市,苓雅區,筑萱,
No.37,2018-04-08 17:32:07,嘉義市,東區,my baby,
No.38,2018-04-08 21:05:01,臺北市,中正區,wei,
No.39,2018-04-09 01:22:19,新北市,泰山區,Wolf,
No.40,2018-04-09 09:36:52,新北市,三峽區,Jin,
No.41,2018-04-09 10:09:11,高雄市,左營區,Andrew,
No.42,2018-04-10 09:43:20,高雄市,鼓山區,eric,

