"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-07 01:25:15,高雄市,三民區,高雄人,讓台灣成為海外旅人更友善的住點。
No.2,2018-03-07 03:04:00,新北市,板橋區,Charlie,
No.3,2018-03-07 09:57:46,高雄市,三民區,冥,
No.4,2018-03-07 10:54:40,新北市,永和區,YW Lin,語音播放非常好👍
No.5,2018-03-07 11:19:07,高雄市,苓雅區,JOAN,
No.6,2018-03-07 13:13:38,新北市,中和區,Serenade,
No.7,2018-03-07 16:15:25,彰化縣,芬園鄉,張小敏,
No.8,2018-03-07 18:49:58,桃園市,八德區,鄭,建議轉乘路線也可以標示清楚
No.9,2018-03-07 19:16:39,臺北市,士林區,Judy,公車上的跑馬燈，建議不需要公共衛生宣導文字，這會讓等待站名確認下車時非常緊張，很怕坐過站或下錯站。除了需要在公車上顯示英文站名已推動國際觀光，亦須顯示尚有幾分鐘到站
No.10,2018-03-07 21:20:29,新北市,汐止區,Nicole,
No.11,2018-03-08 11:46:59,雲林縣,斗六市,Josh,

