"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-08 07:29:55,臺北市,大安區,梁聖瑋,如果沒精神病就該死刑
No.2,2017-08-08 13:52:29,宜蘭縣,宜蘭市,元,惡人來一個，殺一個
No.3,2017-08-08 18:13:09,桃園市,桃園區,WW,但要是蓄意殺人才能
No.4,2017-08-08 20:47:20,新北市,淡水區,red whale,支持！我覺得只要殺人，無論蓄意殺人、過失致死、防衛過當殺人、精神異常殺人以及間接殺人等等，只要違反法律殺人者，無論原因通通唯一死刑！
No.5,2017-08-08 22:37:28,南投縣,南投市,黃先生,早就該這樣做了! 酒(毒)駕致死一律死刑!終身不得考照! 並建議增加鞭刑
No.6,2017-08-09 01:29:41,南投縣,埔里鎮,奉先,
No.7,2017-08-09 04:53:56,彰化縣,員林鎮,章魚,
No.8,2017-08-09 09:17:55,新北市,新莊區,Joshua,
No.9,2017-08-09 10:17:53,臺南市,佳里區,aska,惡性殺人唯一死刑
No.10,2017-08-09 10:39:00,屏東縣,東港鎮,廖,應該這樣啊，殺了人也沒辦法賠償別人一個家
No.11,2017-08-09 14:32:01,高雄市,新興區,min,
No.12,2017-08-09 15:43:51,新北市,三重區,Wu,
No.13,2017-08-09 19:28:07,臺北市,大同區,寶爸爸,"譴責恐龍法官
法律應該是保護好人並非保障壞人"
No.14,2017-08-09 20:04:27,新北市,樹林區,派妳,
