"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-25 18:00:33,臺北市,大安區,康至青,
No.2,2017-06-26 21:06:39,澎湖縣,望安鄉,wei hong hong,
No.3,2017-06-27 11:28:42,臺南市,安南區,jeffyet,
No.4,2017-06-27 15:45:57,臺南市,歸仁區,寶禎,
No.5,2017-06-27 15:50:18,雲林縣,大埤鄉,晉虹,
No.6,2017-06-28 11:32:10,臺中市,大里區,瓢蟲,
No.7,2017-06-29 19:17:49,臺南市,北區,Paul,"每每看到每年百萬台灣遊客赴國外旅遊，羨慕國外好山好水，日本超乾淨的溪流，
但卻不想將自己所住的河川溪流整治乾淨，百萬人旅遊費用就可以將台灣溪流整治的很乾淨，提議每個市區主要河川溪流，沿線至每公里設置一個汙水處理廠，處理範圍一公里轄區內的汙水，排放標準以比照飲用水知標準排放。"
No.8,2017-06-30 14:51:07,新北市,新店區,順風,
No.9,2017-07-02 11:19:16,高雄市,三民區,Kanj,
No.10,2017-07-03 18:44:17,臺南市,北區,章魚哥,早該如此做了!!!
No.11,2017-07-05 14:12:22,臺北市,北投區,river,
No.12,2017-07-22 08:59:28,新北市,永和區,齊,
No.13,2017-07-22 18:13:51,桃園市,桃園區,陳昕涓,
No.14,2017-07-24 12:03:51,桃園市,桃園區,全日空,"為了環境的永續發展，超有企圖心的一個好建議。其實不只是河川溪流，重點空汙區的空氣偵測也很重要。但難度在於台灣的經濟大部分就是用利環境成本換取經濟利益。這個提案可能還要搭配生產技術提升、或經濟轉型等大型計畫同時推動才比較有可能。
建議大家一併連署「設置由人民連署啟動行政聽證之相關規則和程序」該提案來全方位討論牽一髮動全身的複雜案子。
http://join.gov.tw/idea/detail/cca84963-e1c0-46be-8fea-7766565f1070"
No.15,2017-07-24 13:21:41,桃園市,大溪區,koki,
No.16,2017-07-27 08:29:42,嘉義縣,阿里山鄉,jessie,
No.17,2017-07-28 01:12:30,高雄市,苓雅區,秦,
No.18,2017-07-28 08:36:34,臺南市,永康區,宣,
No.19,2017-07-29 00:16:05,新北市,五股區,爽哥,
