"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-27 15:35:11,新北市,板橋區,瓢蟲,
No.2,2017-04-28 11:21:52,雲林縣,斗六市,友邦,"從能獨立學習後，幾10年來，性侵、強盜、酒駕等..迫害無數無辜人民。
法律無法真正給犯罪者得到應有的處罰，往往都是緩刑、罰款，讓人感到錯愕也無法符合真正公平正義。
鞭刑入法有其必要，能實質給犯罪者得到自身犯錯的認知，進而改進自身行為加以規範。"
No.3,2017-04-28 14:57:01,臺中市,沙鹿區,MLLee,
No.4,2017-04-28 19:28:50,苗栗縣,苗栗市,Lucy,
No.5,2017-04-28 21:53:53,新北市,新店區,張元信,
No.6,2017-05-01 22:11:57,臺南市,北區,融融,"治亂世用重典引進鞭刑同意,但是傷害別人生命之行為一律死刑不同意,凡事都有因果關係,還須視犯案動機而定"
No.7,2017-05-11 00:35:43,花蓮縣,新城鄉,..,
No.8,2017-05-13 13:24:57,臺中市,北屯區,龍貓,
No.9,2017-05-18 00:41:29,新北市,蘆洲區,冰紅茶,
No.10,2017-05-31 07:36:11,桃園市,八德區,太陽,
No.11,2017-06-15 20:49:31,新北市,板橋區,wendy,
