"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-14 09:33:16,新北市,永和區,郝先生,非常贊同！
No.2,2017-10-14 10:10:09,新北市,永和區,洪小雯,百分百贊成
No.3,2017-10-14 10:13:56,新北市,中和區,朱格格,贊成書包減重
No.4,2017-10-14 10:15:12,新北市,永和區,蔡小姐,
No.5,2017-10-14 10:31:40,新北市,中和區,R媽,
No.6,2017-10-14 11:02:30,新北市,中和區,Iris,
No.7,2017-10-14 14:31:21,新北市,永和區,Lulu,
No.8,2017-10-14 15:12:03,高雄市,仁武區,SHOW,
No.9,2017-10-15 13:13:25,新北市,永和區,tony,支持書包減重
No.10,2017-10-15 13:17:07,臺北市,中正區,Pinky Kuo,
No.11,2017-10-15 13:35:34,新北市,中和區,Vivian Zheng,
No.12,2017-10-15 13:40:34,新竹市,東區,Adam tsai,
No.13,2017-10-15 14:02:54,新北市,永和區,Max Cheng,
No.14,2017-10-15 15:52:08,新北市,中和區,louie,
No.15,2017-10-15 17:03:26,臺北市,萬華區,Kat,
No.16,2017-10-15 17:30:23,新北市,汐止區,Goldie,
No.17,2017-10-15 20:22:19,彰化縣,員林鎮,Gaspar,
No.18,2017-10-15 21:51:24,臺中市,南屯區,King,
No.19,2017-10-16 18:32:37,新北市,中和區,Mao mao,
No.20,2017-10-16 19:50:01,新北市,永和區,辰辰媽,
No.21,2017-10-16 20:17:34,臺北市,文山區,衣,
No.22,2017-10-17 13:30:20,新北市,永和區,JU,
No.23,2017-10-17 13:32:17,臺中市,西區,leohung,愛護下一代，這是必須的。
No.24,2017-10-17 14:42:22,臺北市,士林區,joexinba,
No.25,2017-10-17 15:46:01,新北市,中和區,右媽,
No.26,2017-10-18 11:36:00,彰化縣,彰化市,黃核統,
No.27,2017-10-18 23:15:40,新北市,板橋區,LU,
No.28,2017-10-19 00:38:22,臺南市,中西區,Hilltop,
No.29,2017-10-19 20:52:11,高雄市,阿蓮區,Jay,
No.30,2017-10-19 22:27:17,南投縣,埔里鎮,Wei 12,
No.31,2017-10-19 22:56:36,彰化縣,鹿港鎮,三寶麻,
No.32,2017-10-19 23:44:58,新北市,深坑區,Villain,現在已進入無紙化時代了。
No.33,2017-10-20 12:38:43,新北市,汐止區,Kiwi,"大人揹 O__O都很重，何況小孩自己揹 >__<""

若透過這力量直接切入教育部提案，告訴教育部，不只有知道，要確實實施書包減重，每天都在揹石頭。"
No.34,2017-10-20 14:37:37,高雄市,苓雅區,sfmutual,
No.35,2017-10-20 18:46:09,桃園市,桃園區,小胖,
No.36,2017-10-20 19:29:30,基隆市,仁愛區,阿明,
No.37,2017-10-20 19:52:42,臺北市,北投區,小米,
No.38,2017-10-20 19:57:10,新北市,三重區,張彼得,背重的物品，一陣子後會對身體造成不好影響
No.39,2017-10-20 20:19:00,新北市,樹林區,fanms88,
No.40,2017-10-20 20:30:45,屏東縣,屏東市,Leon,
No.41,2017-10-22 11:33:36,彰化縣,彰化市,阿忠,
No.42,2017-10-23 03:28:54,嘉義市,西區,Justin,
No.43,2017-10-23 13:36:14,新北市,八里區,葉子,
No.44,2017-10-23 15:50:23,新竹市,香山區,兒兒兒,
No.45,2017-10-24 19:24:15,新竹市,東區,hsuna,
No.46,2017-10-24 19:57:04,臺北市,內湖區,Sammi,
No.47,2017-10-24 20:24:15,臺北市,內湖區,史基國,
No.48,2017-10-24 20:42:52,花蓮縣,吉安鄉,林安,
