"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-05 12:39:11,新北市,蘆洲區,larry,
No.2,2017-09-05 13:49:08,新北市,永和區,MOMO,
No.3,2017-09-05 14:17:18,臺北市,大同區,CJUJU,至少人車平安
No.4,2017-09-05 14:17:25,新北市,泰山區,Johanna,
No.5,2017-09-05 14:17:50,臺北市,大同區,AKANE,
No.6,2017-09-05 14:20:34,新北市,中和區,阿姐,
No.7,2017-09-05 14:45:42,基隆市,信義區,MaMa,安全平穩，尤其是需載小孩或老人，操作簡便。
No.8,2017-09-05 15:19:50,高雄市,小港區,瑋駿,"原則上認同開放邊車合法。
駕駛邊車理應擁有較高穩定性，對於平衡感較差，不敢上路之民眾有鼓勵駕駛、建立信心之功用。
且轉彎時無法快速過彎，於交通安全上亦有幫助。
只是需要規劃道路使用規則或相關駕駛執照的認定，畢竟體積佔將近2台機車寬度，且操縱性不同於一般機車。"
No.9,2017-09-05 21:20:16,高雄市,鳳山區,wei ting,
No.10,2017-09-06 03:44:23,高雄市,苓雅區,WEI,
No.11,2017-09-06 11:38:07,臺中市,北屯區,Edward,
No.12,2017-09-06 17:46:52,苗栗縣,苗栗市,柏,
No.13,2017-09-06 17:51:54,新北市,中和區,Rider,
No.14,2017-09-06 17:51:56,桃園市,中壢區,東,
No.15,2017-09-06 17:52:10,臺北市,士林區,Roger White Kuo,
No.16,2017-09-06 17:53:37,臺北市,萬華區,ㄎㄎ,
No.17,2017-09-06 17:54:24,彰化縣,彰化市,Mac,
No.18,2017-09-06 17:54:29,臺中市,霧峰區,Skywing168,
No.19,2017-09-06 17:55:04,新竹縣,竹北市,黃建琁,合理，邊車完全沒有理由不合法
No.20,2017-09-06 17:55:12,新北市,永和區,游翔仲,
No.21,2017-09-06 17:55:13,臺中市,北區,翰哥,
No.22,2017-09-06 17:55:17,高雄市,鼓山區,劉竹田,
No.23,2017-09-06 17:55:41,新北市,八里區,雞米,老早就有這種想法了...***的好!
No.24,2017-09-06 17:56:30,雲林縣,斗六市,幹話王-道路平權合作社,完全找不到任何理由來禁止邊車行駛。
No.25,2017-09-06 17:56:33,臺北市,大同區,阿嘉,
No.26,2017-09-06 17:57:01,臺中市,豐原區,Terry,
No.27,2017-09-06 17:57:28,桃園市,大溪區,Huan,
No.28,2017-09-06 17:57:40,彰化縣,彰化市,凱,
No.29,2017-09-06 17:58:05,新北市,新莊區,Wesley Wang,
No.30,2017-09-06 17:58:18,臺中市,龍井區,冷,
No.31,2017-09-06 17:59:51,臺中市,南區,框框,
No.32,2017-09-06 18:00:05,臺北市,萬華區,剛,
No.33,2017-09-06 18:00:06,新北市,板橋區,OJ,
No.34,2017-09-06 18:00:53,高雄市,三民區,Morgan,
No.35,2017-09-06 18:01:28,臺中市,北區,lukeos2,
No.36,2017-09-06 18:01:33,高雄市,鳳山區,阿緯,
No.37,2017-09-06 18:01:36,桃園市,桃園區,佑佑,
No.38,2017-09-06 18:01:37,臺中市,沙鹿區,智元,
No.39,2017-09-06 18:01:45,新北市,板橋區,tommychang,
No.40,2017-09-06 18:01:57,臺北市,大安區,屁孩,
No.41,2017-09-06 18:02:16,新北市,中和區,Kagaya Lee,
No.42,2017-09-06 18:04:09,南投縣,鹿谷鄉,黑油,
No.43,2017-09-06 18:04:23,臺中市,西屯區,阿陸,
No.44,2017-09-06 18:04:35,臺南市,新市區,Microbird,
No.45,2017-09-06 18:07:36,新北市,板橋區,板橋金城武,
No.46,2017-09-06 18:09:31,臺北市,文山區,BK,
No.47,2017-09-06 18:09:32,新北市,新店區,新雪,
No.48,2017-09-06 18:13:09,新北市,中和區,"Kinnsan ",邊車明明很安全！
No.49,2017-09-06 18:13:23,花蓮縣,花蓮市,ES,
No.50,2017-09-06 18:13:23,新北市,板橋區,陳宏,
No.51,2017-09-06 18:13:49,新北市,永和區,家豐,
No.52,2017-09-06 18:14:42,新北市,新莊區,脆脆君,
No.53,2017-09-06 18:15:12,臺北市,內湖區,正義的波魯克,提供一個機車乘載兒童的安全方式
No.54,2017-09-06 18:15:31,臺中市,南區,芭樂,
No.55,2017-09-06 18:15:43,新北市,五股區,喜瑞爾,
No.56,2017-09-06 18:16:06,臺北市,松山區,泰瑞,
No.57,2017-09-06 18:16:28,新竹市,東區,Yuan,
No.58,2017-09-06 18:16:39,臺南市,安定區,許乘輔,
No.59,2017-09-06 18:17:23,桃園市,蘆竹區,阿部,三輪車可以上市販售，邊車為何不行？
No.60,2017-09-06 18:18:05,臺南市,善化區,騎士A,
No.61,2017-09-06 18:22:46,臺北市,松山區,Hawk,
No.62,2017-09-06 18:28:25,新竹市,東區,Heresy,
No.63,2017-09-06 18:28:48,臺中市,南屯區,林小麥,支持阿!!!這樣機車不容易摔車，又有個適當的空間可以載小孩
No.64,2017-09-06 18:32:57,新北市,新莊區,細胞,
No.65,2017-09-06 18:33:16,新北市,新店區,87,
No.66,2017-09-06 18:33:20,高雄市,三民區,阿麟,這麼棒的交通工具絕對要開放的啊～～～
No.67,2017-09-06 18:33:42,臺中市,大里區,滷薏仁,
No.68,2017-09-06 18:33:58,臺北市,大同區,川普,
No.69,2017-09-06 18:36:25,基隆市,安樂區,基隆李,減少鑽車縫的機會
No.70,2017-09-06 18:37:15,臺南市,永康區,0000000000,
No.71,2017-09-06 18:38:11,雲林縣,虎尾鎮,菜鳥,
No.72,2017-09-06 18:38:31,桃園市,桃園區,Brian_0816,
