"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-23 05:51:25,宜蘭縣,頭城鎮,阿萬,
No.2,2018-01-23 07:08:01,雲林縣,大埤鄉,啊銘,制度要出來，是個人的權益
No.3,2018-01-23 08:16:36,臺中市,南屯區,阿棋,
No.4,2018-01-23 08:34:03,嘉義市,西區,怎麼說呢,如果有不適服的情況，賠款退伍也是一個很好的方法，不然強制留人下來，效益應該也不會太大了
No.5,2018-01-23 09:55:43,彰化縣,二水鄉,列車長,"我認為按照法律強制留住不願意繼續做的人，並不是解決之道，法律是死的，人制定法律，所以一定可以改，難道非得要不願意繼續呆下去的人犯天條或是去精神病院各位長官才高興嗎？到時候長官還要出來道歉上記者會才會比較好過嗎？
國軍不是收垃圾的啊！是要收人才！"
No.6,2018-01-23 10:11:42,高雄市,岡山區,林先生,退場機制應該要有人給我們選擇權給不是靠招募在那邊說的很好聽 進來完全不一樣 把人家騙進來就不管了
No.7,2018-01-23 11:28:19,臺中市,太平區,想幫忙同學退的人,"我是空軍航空技術學院的二專畢業生
同學有下部隊後覺得與理想不符的
但苦於是學校畢業生最少需六年
尋各種管道仍無法順利退伍

希望他可以過自己想過的人生"
No.8,2018-01-23 13:54:43,新北市,瑞芳區,Tingyi,
No.9,2018-01-23 16:11:25,新北市,瑞芳區,哲,
No.10,2018-01-23 20:48:52,屏東縣,九如鄉,細菌,
No.11,2018-01-23 22:53:57,高雄市,楠梓區,Gillian,
No.12,2018-01-24 07:30:55,基隆市,七堵區,哈豆,不應該強留心不在此的官兵，會影響部隊的運作。
No.13,2018-01-24 16:09:47,高雄市,新興區,自由,
No.14,2018-01-24 16:25:06,屏東縣,潮州鎮,小喵,
No.15,2018-01-24 16:38:49,嘉義市,西區,心心,
No.16,2018-01-24 18:48:01,臺中市,西屯區,Kelly,
No.17,2018-01-24 21:47:55,新北市,蘆洲區,安哥,真的需要！
No.18,2018-01-24 22:33:04,桃園市,中壢區,汪汪,有志者就會留下。不需要浪費沒有心的人的時間
No.19,2018-01-25 01:43:40,彰化縣,和美鎮,可ㄎ狼,支持！！
No.20,2018-01-26 08:45:52,臺中市,北屯區,Chu,
No.21,2018-01-28 12:20:47,高雄市,楠梓區,被騙國軍弟兄一員,"真的很黑暗 太多不為人所知的秘密了
我要為這位弟兄出一份力 即便只有一絲一毫! By被騙進來還正在服役的弟兄"
No.22,2018-02-01 11:57:02,高雄市,鳳山區,B,其實我之前提過兩次發現好像沒甚麼用
No.23,2018-02-21 14:41:11,高雄市,楠梓區,謝鴻捷,

