"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-02-22 14:03:29,臺北市,中山區,大里金城武,一堆候選人也是慣老闆，助理的權益需要被保障
No.2,2018-02-22 20:17:00,高雄市,前鎮區,鄭小廷,
No.3,2018-02-22 20:23:44,南投縣,南投市,Vincent,
No.4,2018-02-22 21:15:52,臺中市,西屯區,Yu-Tsung Liu,
No.5,2018-02-22 21:32:25,臺南市,東區,宇葳,
No.6,2018-02-22 22:20:04,苗栗縣,南庄鄉,大瑋,
No.7,2018-02-22 22:26:35,臺北市,大安區,"Yuchen ",
No.8,2018-02-22 22:27:52,新北市,永和區,林小鹿,
No.9,2018-02-23 00:38:07,苗栗縣,頭份市,周訓宇,
No.10,2018-02-23 09:15:49,臺北市,中正區,三井,
No.11,2018-02-23 11:07:58,臺北市,北投區,wen,
No.12,2018-02-23 13:10:34,桃園市,復興區,卡伊,
No.13,2018-02-23 15:09:52,高雄市,小港區,kyle,
No.14,2018-02-23 15:20:07,臺北市,南港區,Crucio,
No.15,2018-02-23 17:53:33,臺北市,文山區,hsu,
No.16,2018-02-23 21:46:32,新北市,永和區,Fany chung,超收稅徵應還稅於民！
No.17,2018-02-24 00:15:00,臺南市,新化區,翰軒,
No.18,2018-02-26 22:15:25,臺北市,文山區,兩號,
No.19,2018-03-01 00:11:55,新北市,林口區,louis,
No.20,2018-03-01 11:37:54,臺中市,西區,jonesAAA,
No.21,2018-03-01 15:34:16,新北市,樹林區,榕姐,
No.22,2018-03-01 17:50:20,南投縣,草屯鎮,丹尼爾,

