"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-17 09:10:08,新北市,汐止區,Johocen,支持
No.2,2017-06-17 09:18:50,臺北市,大同區,Angie,幫我們省荷包，還能創造產業，當然支持
No.3,2017-06-17 09:22:02,臺北市,中山區,小明,
No.4,2017-06-17 09:40:17,臺北市,松山區,松山下智久,
No.5,2017-06-17 09:41:13,臺北市,士林區,David,
No.6,2017-06-17 10:05:48,臺北市,南港區,苦沒有關係(有尊嚴得過),"科技日新又新，前瞻是做對的事，但改朝換代一卻抹殺。
老百性的錢愈來愈難賺，用對地方就是前瞻，規劃錯誤就是錢坑。
小英總統~請您要謹慎再謹慎。"
No.7,2017-06-17 11:33:37,臺北市,大安區,康至青,
No.8,2017-06-17 12:36:02,臺北市,大安區,小六子,
No.9,2017-06-17 13:00:06,臺北市,內湖區,Winnie Lu,
No.10,2017-06-17 13:32:40,臺北市,內湖區,ZzZz -_-),
No.11,2017-06-17 13:56:27,桃園市,平鎮區,維,
No.12,2017-06-17 16:30:04,臺南市,永康區,王先生,
No.13,2017-06-17 17:38:22,新竹縣,新豐鄉,Mr.S,"也請支持 (鬧區馬路興建行人&機車鋼構高架道路),(公共政策網路參與平台應該扮演匯集全國民眾意見的橋樑不限行政院事務),(教育改革應從建立大數據庫&學分制度著手),(頭城交流道配合礁溪街道改善圖),(建立公共工程品質&廠商信用追蹤系統),(調整行政區有效整合區域資源),(建議政府發行特別股與民眾交換公共設施保留地),(四或五線道窄安全島的不良的汽車待轉車道修改為左右彎汽車都須待轉),(蘇花改接國道5),(各級學校,各類補習班教室都須設置防止性侵害標語),(增加政府組織內人員的流動性),(課徵所得稅時的小額退補稅差應列下一期一起併算),(興建家戶地下水庫),(夏季用電漲價價差應專款專用補貼太陽能或風力發電),(讓消費者獲得""消費&不浪費權"",防止浪費與改標)"
No.14,2017-06-17 20:57:21,高雄市,湖內區,wei hong hong,
No.15,2017-06-17 22:20:03,新竹市,東區,Mincent,
