"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-02-03 00:58:56,臺中市,南區,JJ,濫殺濫補野生動物必須重罰
No.2,2018-02-03 12:23:16,臺南市,永康區,肥貓,
No.3,2018-02-03 12:37:48,臺北市,松山區,fireflyforest,"1野生動物走私應加強跨國合作

2走私猖獗 學者：刑責太輕無嚇阻效果

3檢察官的起訴，都必須人贓俱獲才算數，導致執法人員搜證不易!!
好不容易跟監數日抓到現行犯，到了法院往往也是被告有悔意只是輕判"
No.4,2018-02-03 13:07:34,新竹市,北區,Annie,
No.5,2018-02-03 13:08:15,臺北市,中正區,王粥豪,
No.6,2018-02-03 13:13:31,基隆市,暖暖區,文文,提高刑罰才能稍微達到遏止非法行動繼續進行
No.7,2018-02-03 13:19:49,高雄市,小港區,Phineas,
No.8,2018-02-03 13:20:34,臺北市,文山區,嘉弘,我全力支持《野生動物保育法》罰則提高提議
No.9,2018-02-03 13:21:59,新北市,中和區,Lin,
No.10,2018-02-03 13:31:36,新北市,中和區,蕃茄,
No.11,2018-02-03 13:35:37,新北市,中和區,Po,
No.12,2018-02-03 13:39:27,臺北市,大安區,參,

