"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-15 02:13:38,新北市,新店區,apoway,約聘人員就是勞工，理應適用勞基法，政府需要照顧最基層的弱勢勞工，不要一個身份，用不同的法律去規定，讓人無所適從。
No.2,2018-05-15 06:56:02,新北市,新莊區,hh,符合公平正義。
No.3,2018-05-15 07:21:42,新北市,永和區,夾心餅乾,😳 終於有人想到爹不疼，娘不愛的約聘僱人員，淚留满面。😿😿😿
No.4,2018-05-15 07:35:46,新北市,土城區,yang,
No.5,2018-05-15 07:38:00,新北市,土城區,wunwun,
No.6,2018-05-15 08:15:58,新北市,新店區,Judy,照顧約聘僱人員應有的權益合情合理
No.7,2018-05-15 08:17:30,新北市,中和區,曉蘭,未休完應予發放加班費
No.8,2018-05-15 08:28:13,臺北市,文山區,周,
No.9,2018-05-15 08:31:18,彰化縣,二林鎮,Hugh,
No.10,2018-05-15 08:37:21,新北市,板橋區,李小姐,
No.11,2018-05-15 08:44:00,新北市,三峽區,tsaibao115237,
No.12,2018-05-15 08:45:49,新北市,板橋區,BOSS SU,支持
No.13,2018-05-15 08:54:03,新北市,板橋區,Sharon Lin,
No.14,2018-05-15 09:00:01,新北市,板橋區,支持,支持！
No.15,2018-05-15 09:05:15,新北市,新莊區,水牛城,理應兼顧約聘僱人員的權益
No.16,2018-05-15 09:06:03,臺北市,文山區,pin,一視同仁
No.17,2018-05-15 09:19:22,臺北市,北投區,mary,為公平正義
No.18,2018-05-15 09:23:41,新北市,板橋區,河馬,支持~~~~~
No.19,2018-05-15 09:24:53,臺北市,松山區,susu,認真的聘僱人員應有的未休假加班費 附議啦
No.20,2018-05-15 09:28:06,新北市,土城區,盈秋,
No.21,2018-05-15 09:30:33,新北市,新莊區,NICO,
No.22,2018-05-15 09:39:17,新北市,新店區,Gloria,
No.23,2018-05-15 09:44:26,臺北市,中正區,珮姬,
No.24,2018-05-15 09:47:20,新北市,永和區,Ting,
No.25,2018-05-15 09:56:25,臺中市,南區,老王,
No.26,2018-05-15 10:05:33,臺北市,中正區,kuku,附議提案
No.27,2018-05-15 10:07:47,臺北市,北投區,小御,
No.28,2018-05-15 10:11:15,臺北市,北投區,Knox,要就大家平等，不要挑起對立！
No.29,2018-05-15 10:16:01,基隆市,仁愛區,jack,支持聘僱人員應核發未休假加班費
No.30,2018-05-15 10:20:13,宜蘭縣,羅東鎮,逐雲,約聘僱人員負擔比正式公務員更多的任務，每年往往都無法休完應有的休假日。應核發不休假加班費
No.31,2018-05-15 10:22:44,新北市,三峽區,cwlwenling,
No.32,2018-05-15 10:25:50,新北市,中和區,邱小敏,
No.33,2018-05-15 10:27:58,新北市,土城區,吳建儀,
No.34,2018-05-15 10:28:48,新北市,中和區,Tracy,
No.35,2018-05-15 10:42:19,桃園市,桃園區,rich,
No.36,2018-05-15 10:51:26,嘉義市,西區,May,
No.37,2018-05-15 10:59:24,臺北市,文山區,pipiandlaikar,
No.38,2018-05-15 11:04:10,南投縣,南投市,onelight,"聘僱人員得核發未休假加班費,如遇其當年度休假因公忙而無法休畢時，應予以相對應的權利保障。"
