"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-29 00:53:46,桃園市,蘆竹區,pc000513,海洋資源並非無限，台灣實在應該好好想想，到底要留些什麼給後代子孫
No.2,2017-07-29 10:24:11,臺北市,大安區,康至青,
No.3,2017-07-29 10:27:48,新北市,汐止區,Swan,
No.4,2017-07-29 10:59:29,新北市,汐止區,Goldie,
No.5,2017-07-29 14:11:03,臺南市,新市區,南島之男,限度管理 永續發展
No.6,2017-07-29 14:27:18,屏東縣,屏東市,瞇哥,請多重視台灣的自然資源
No.7,2017-07-29 14:42:32,屏東縣,屏東市,安仔,
No.8,2017-07-29 17:33:49,新北市,三重區,Hanhan,希望台灣能永續經營下去，保護環境，珍惜資源
No.9,2017-07-29 18:20:29,新北市,新店區,珮珮,
No.10,2017-07-29 19:38:29,桃園市,中壢區,Sulin,海洋資源有限應好好保護善用
No.11,2017-07-29 19:58:20,彰化縣,彰化市,核統,
No.12,2017-07-29 20:08:14,臺中市,豐原區,KC,我們住的寶島經歷太多的人為破壞，需要我們共同維護環境，支持！
No.13,2017-07-29 20:09:58,南投縣,埔里鎮,奉先,
No.14,2017-07-29 20:27:25,臺北市,中山區,謝秉宸,台灣本來就應該倒像海洋文化，捨棄國民黨帶來的陸權殖民思想
No.15,2017-07-29 22:30:52,桃園市,龜山區,人形傀儡,"台灣漁獲降低的根本問題是什麼？
就是台灣濫補，大魚小魚都不放過

台灣的問題很多，都是出在政客身上
為了選票，什麼狗屁的話都可以說的出來。

海洋問題，希望更多人注意"
No.16,2017-07-29 22:32:26,基隆市,中正區,發光螞蟻,不但要科學化管理，更要推展新人道主義，逐步降低對這些海洋生物予取予求的種種行為。
No.17,2017-07-29 23:33:33,臺北市,南港區,qppqpqqp,
No.18,2017-07-30 03:07:32,新竹縣,竹北市,阿誠,
No.19,2017-07-30 03:16:36,臺中市,西屯區,憶呆,海洋永續。
No.20,2017-07-30 04:25:22,基隆市,暖暖區,樣樣,
