"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-01 00:27:25,新北市,新店區,R.C.,
No.2,2017-12-01 08:18:31,桃園市,桃園區,Tim,
No.3,2017-12-01 09:49:00,臺中市,北區,berlinonenumber,
No.4,2017-12-01 10:20:23,彰化縣,彰化市,黃核統,
No.5,2017-12-01 18:35:46,高雄市,鳳山區,"GUO  ",
No.6,2017-12-01 19:06:06,臺南市,安平區,Rita Lu,
No.7,2017-12-01 22:14:01,臺中市,北區,昂維,落實以原就被原則
No.8,2017-12-02 06:53:13,臺中市,大雅區,Pai,
No.9,2017-12-02 08:18:25,屏東縣,內埔鄉,游一樹,
No.10,2017-12-02 10:38:57,新北市,淡水區,小B麻,
No.11,2017-12-02 15:29:55,新竹市,東區,阿村,
No.12,2017-12-02 16:34:13,高雄市,三民區,stupid,
No.13,2017-12-02 18:40:08,新竹市,東區,Bird,
No.14,2017-12-02 20:46:27,臺北市,信義區,Keser,
No.15,2017-12-02 21:14:55,臺南市,東區,建哥,
No.16,2017-12-02 21:33:01,桃園市,龜山區,楊,
No.17,2017-12-02 22:57:52,臺南市,北區,Merlin,
No.18,2017-12-03 08:19:06,臺南市,北區,帥俊,就近到按說明是很便民的政策我願意支持
No.19,2017-12-03 09:25:15,新北市,三重區,GG,
No.20,2017-12-03 15:52:30,苗栗縣,竹南鎮,陳小穎,
No.21,2017-12-03 21:45:07,臺中市,豐原區,阿寶,
No.22,2017-12-04 04:36:47,臺中市,豐原區,JJ,學生時期，同學曾遇到類似的事，我們住台中，但報案的地點在桃園，同學還得自費到桃園，警員要求日期還與考證照的日期時間撞上，電話告知員警並詢問如何附上相關資料證明，員警還是要求相同指定時間去，最後尋求教官協助與其協調才得以擇它日前往……。
No.23,2017-12-04 08:43:35,臺中市,中區,Sa,支持製作筆錄以居住地為準，否則實在太擾民！現在盜用帳號的太多，法律應該要保障善良百姓，為什麼會是「受害者」為此付出代價呢？本末倒置！
No.24,2017-12-04 12:38:37,新北市,三重區,Yun,
No.25,2017-12-04 13:38:40,臺中市,大里區,Sean,
No.26,2017-12-04 14:59:53,桃園市,中壢區,紘,
No.27,2017-12-04 21:37:16,新北市,三重區,playgamenow,
No.28,2017-12-04 22:50:38,臺北市,士林區,大林,
No.29,2017-12-05 02:03:07,新竹市,東區,mars125,
No.30,2017-12-05 17:02:53,臺南市,仁德區,Rockey,
No.31,2017-12-05 23:41:15,桃園市,八德區,Ting,
No.32,2017-12-06 00:40:47,臺中市,豐原區,牛排五分熟,
No.33,2017-12-07 17:36:25,新北市,金山區,落晰,無
No.34,2017-12-09 15:43:25,新北市,三峽區,akina,
No.35,2017-12-11 09:22:27,新北市,永和區,D.C.,
No.36,2017-12-11 13:09:40,新北市,新店區,may ray,
No.37,2017-12-19 20:52:50,彰化縣,二林鎮,UA,
No.38,2017-12-19 23:53:05,臺北市,內湖區,覺得應該,
No.39,2018-01-09 09:28:06,高雄市,大寮區,倫倫倫倫倫,

