"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-21 07:51:54,新北市,新莊區,4303,讓消費者能夠有更多選擇的權利
No.2,2017-12-21 07:54:22,嘉義縣,竹崎鄉,Beast.K,支持
No.3,2017-12-21 07:59:16,新北市,板橋區,james,
No.4,2017-12-21 08:04:40,新北市,新莊區,痞子蔡,
No.5,2017-12-21 08:13:08,高雄市,大寮區,Seven Bai,
No.6,2017-12-21 08:16:03,宜蘭縣,三星鄉,tophetyang,支持提案
No.7,2017-12-21 08:22:40,彰化縣,員林鎮,小賴,
No.8,2017-12-21 08:27:16,新竹縣,竹北市,kanchi,安全最重要
No.9,2017-12-21 08:33:07,新竹縣,北埔鄉,習包子大撒幣,
No.10,2017-12-21 09:00:25,屏東縣,鹽埔鄉,letterstar,支持
No.11,2017-12-21 09:23:12,臺中市,潭子區,小誠,
No.12,2017-12-21 09:55:35,桃園市,桃園區,阿光,希望國產車也比照
No.13,2017-12-21 11:28:32,臺南市,永康區,啾咪,臺灣消費者應該要有選擇配備的權利
No.14,2017-12-21 16:19:03,嘉義市,東區,eshihao,讓車主有選擇權
No.15,2017-12-22 01:13:55,新竹市,北區,Jonathan Hsu,生命攸關之大事，不管進口國產都應該提供各種安全配備讓用車的人自由選擇，不需要買豪華車款加了一堆對安全沒有助益的電子娛樂配備才能得到自己想要的安全配備。畢竟安全至上，寧可沒有這些娛樂設施也要有完善的保命裝置。
No.16,2017-12-22 15:24:38,臺南市,南區,Horace Lin,同意
No.17,2017-12-22 18:43:25,臺北市,信義區,Ivy,
No.18,2017-12-23 09:17:56,新北市,土城區,橘子冰沙,
No.19,2017-12-24 23:42:09,高雄市,岡山區,阿賢,贊成
No.20,2017-12-26 02:05:57,臺中市,西屯區,humphrey0925,
No.21,2017-12-26 16:49:39,高雄市,楠梓區,zephoenixro,
No.22,2018-01-01 21:32:31,基隆市,七堵區,hill,
No.23,2018-01-04 00:15:12,桃園市,桃園區,逝水,
No.24,2018-01-07 15:29:42,雲林縣,元長鄉,坤達,
No.25,2018-02-02 00:55:10,高雄市,鳳山區,樂,

