"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-22 02:54:07,高雄市,三民區,黃阿狗,
No.2,2017-11-22 09:43:01,臺中市,清水區,阿發,
No.3,2017-11-22 10:24:12,新竹市,東區,Eden,
No.4,2017-11-22 11:11:46,彰化縣,彰化市,黃核統,
No.5,2017-11-22 14:15:23,臺南市,新化區,貓貓瓶,
No.6,2017-11-22 15:42:55,臺南市,龍崎區,鴻,
No.7,2017-11-22 17:49:08,彰化縣,埔心鄉,張定勝,
No.8,2017-11-22 21:31:50,高雄市,三民區,migyan,"水源是以後每個國家的共同問題
現在先設立
避免臨時缺水問題來臨"
No.9,2017-11-22 22:03:52,臺中市,潭子區,霖,
No.10,2017-11-22 22:41:40,屏東縣,屏東市,滾滾火焰,
No.11,2017-11-22 23:30:44,新北市,三重區,VV,
No.12,2017-11-23 21:21:29,新北市,土城區,Sam,多元水資源，減少抽取地下水。
No.13,2017-11-23 23:14:25,新北市,三重區,小芳,
No.14,2017-11-24 09:06:04,桃園市,桃園區,roger,依地區水資源使用情況規畫興建
No.15,2017-11-25 11:21:09,新北市,石門區,小燕,
No.16,2017-11-25 16:48:49,花蓮縣,新城鄉,阿典,
No.17,2017-11-28 20:58:25,臺中市,南屯區,蛋黃酥,
No.18,2017-11-29 11:38:48,新北市,蘆洲區,Kevin,
No.19,2017-12-12 16:32:54,新北市,林口區,JMH,
No.20,2017-12-15 17:19:43,新竹縣,竹北市,Joe,同意。

