"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-18 10:58:51,高雄市,岡山區,貝小豪,不能白白讓他們吃免錢飯
No.2,2017-11-18 13:59:00,嘉義縣,竹崎鄉,軒,我覺得很有道理
No.3,2017-11-18 14:52:00,新北市,烏來區,蔚城,本該如此，在社會亂還能在監獄爽，社會有公理嗎，法官你晚上睡得著嗎？
No.4,2017-11-18 14:53:38,臺中市,南屯區,小夥子,
No.5,2017-11-18 15:47:37,彰化縣,和美鎮,傑克,使用者付費。
No.6,2017-11-18 15:53:39,臺北市,內湖區,魚魚,
No.7,2017-11-18 16:37:35,臺中市,西屯區,貓咪,
No.8,2017-11-18 16:54:19,臺中市,大里區,光正,
No.9,2017-11-18 18:22:47,高雄市,三民區,shanefalco,
No.10,2017-11-18 18:26:20,新竹市,東區,"Sis chen ",國家不必免費供養這些故意或蓄意犯罪的人。
No.11,2017-11-18 19:28:27,臺南市,麻豆區,真白,本來就該這樣，無法理解為何要用人民所繳的稅去養那種人，錢都是大家辛苦賺來的，不然不想賺錢的人都去偷去搶之後吃免錢牢飯算了。
No.12,2017-11-18 19:29:54,臺南市,麻豆區,兔兔,
No.13,2017-11-18 20:00:39,臺中市,西區,jan,
No.14,2017-11-18 20:42:37,新北市,樹林區,安,
No.15,2017-11-18 21:09:45,臺中市,西屯區,"rubik ",
No.16,2017-11-18 21:51:59,臺南市,北區,劉家榛,
No.17,2017-11-18 21:55:09,高雄市,楠梓區,melody,
No.18,2017-11-18 22:05:29,臺北市,中山區,謝秉宸,這樣相對較能遏阻為入獄而犯罪的詭異現象！
No.19,2017-11-18 22:18:40,新北市,新店區,蕭ㄟ,
No.20,2017-11-18 22:41:59,臺南市,將軍區,王正勝,
No.21,2017-11-18 23:08:12,臺南市,麻豆區,wenqi,
No.22,2017-11-18 23:45:44,臺南市,歸仁區,Mr.xu,這個提議不錯，不然有的人沒錢就想吃免錢的牢飯，太可惡了！
No.23,2017-11-18 23:50:26,臺中市,大雅區,礙呆丸,GOO IDEA
No.24,2017-11-19 00:15:38,其它,其他,藍帶貓,
No.25,2017-11-19 00:18:14,嘉義市,東區,阿肥,
No.26,2017-11-19 01:07:33,高雄市,楠梓區,蒂,
No.27,2017-11-19 07:12:00,宜蘭縣,冬山鄉,劭劻,
No.28,2017-11-19 09:13:07,臺南市,東區,Carol,
No.29,2017-11-19 09:36:26,花蓮縣,新城鄉,阿典,
No.30,2017-11-19 11:15:45,臺南市,楠西區,黃小祥,
No.31,2017-11-19 11:41:12,新北市,汐止區,揚,
No.32,2017-11-19 11:52:17,新北市,新莊區,新莊彭魚彥,
No.33,2017-11-19 12:34:33,新北市,蘆洲區,林同學,可降低為了免費吃牢飯而犯法的犯罪率
No.34,2017-11-19 12:39:49,花蓮縣,吉安鄉,阿哲,
No.35,2017-11-19 14:13:22,新竹縣,寶山鄉,aska,
No.36,2017-11-19 15:19:32,桃園市,楊梅區,鴻,
No.37,2017-11-19 16:32:32,新北市,三重區,超人,
No.38,2017-11-19 16:48:07,高雄市,岡山區,Kabifufu,完全支持本提案
No.39,2017-11-19 16:53:42,臺中市,沙鹿區,幻瞳0w＜,
No.40,2017-11-19 17:14:42,新北市,淡水區,A,
No.41,2017-11-19 17:39:51,高雄市,左營區,vivi,
No.42,2017-11-19 18:50:13,臺北市,北投區,LIN ROBERT,
No.43,2017-11-19 19:59:12,彰化縣,彰化市,芒果,
No.44,2017-11-19 20:20:17,高雄市,三民區,Lim,
No.45,2017-11-19 21:01:13,新北市,三重區,曾國民,
No.46,2017-11-19 21:05:41,高雄市,燕巢區,Cih,自己的飯錢自己掙！
No.47,2017-11-19 21:38:09,新北市,中和區,菇菇,
No.48,2017-11-19 22:22:46,屏東縣,屏東市,凱莉,
No.49,2017-11-19 22:24:07,雲林縣,虎尾鎮,李,
No.50,2017-11-19 22:48:50,臺中市,北區,BUI,
No.51,2017-11-19 23:20:54,新北市,淡水區,小猫,使用者付費原則……
No.52,2017-11-19 23:44:30,新北市,三峽區,Dolly,
No.53,2017-11-20 00:24:09,高雄市,前鎮區,沒錯,
No.54,2017-11-20 00:51:01,高雄市,三民區,lin chun,
No.55,2017-11-20 01:33:27,臺南市,東區,忘憂草,"對於這些受刑人，犯案受罰給予入監懲處之外，
本應三餐費用跟監獄使用 ，為使用者付費.
不該是全民幫這些受刑人買單"
No.56,2017-11-20 02:33:11,高雄市,鹽埕區,Tzu,
No.57,2017-11-20 02:44:30,新北市,三重區,InRu,
No.58,2017-11-20 09:17:42,桃園市,桃園區,美格,支持！
No.59,2017-11-20 10:39:35,高雄市,大社區,很生氣,
No.60,2017-11-20 12:44:50,新北市,板橋區,丁先生,
No.61,2017-11-20 12:48:23,基隆市,七堵區,LW,節省納稅義務人負擔，增加遏止犯罪的動機。
No.62,2017-11-20 13:39:05,臺北市,中正區,Bonnie,
No.63,2017-11-20 14:34:53,新北市,新莊區,jack,
No.64,2017-11-20 14:37:47,桃園市,八德區,Jason,
No.65,2017-11-20 15:49:42,桃園市,八德區,KEVIN,
No.66,2017-11-20 16:43:43,新北市,土城區,mark,
No.67,2017-11-20 17:36:11,臺北市,松山區,Charlie ma,
No.68,2017-11-20 19:45:05,臺北市,內湖區,Roy,
No.69,2017-11-20 20:50:37,臺南市,安平區,"Evangela ",落實完全為自己的行為負責
No.70,2017-11-20 20:50:39,宜蘭縣,宜蘭市,ㄚ雄,
No.71,2017-11-20 21:52:24,臺中市,南屯區,Bbb,受刑人本應自行負責本身花費
No.72,2017-11-20 22:32:50,高雄市,鼓山區,小葉,
No.73,2017-11-20 22:52:13,臺南市,龍崎區,鴻,
No.74,2017-11-20 22:59:15,高雄市,鳳山區,Jean,
No.75,2017-11-20 23:09:26,高雄市,燕巢區,阿龜,
No.76,2017-11-21 10:46:03,臺北市,文山區,jason,
No.77,2017-11-21 14:03:52,高雄市,楠梓區,晴天娃娃,"犯罪者的所有費用應由犯罪者本身自行負擔
才符合懲罰真正的意義!"
No.78,2017-11-21 14:48:58,高雄市,鳳山區,鳳山蚊子,
No.79,2017-11-21 14:49:24,新竹縣,竹北市,天堂鳥,贊成
No.80,2017-11-21 15:25:01,新竹市,香山區,兒兒兒,
No.81,2017-11-21 16:59:50,臺北市,大同區,acamaze,
No.82,2017-11-21 21:34:04,臺中市,北屯區,益,
No.83,2017-11-21 21:44:46,新北市,蘆洲區,一番,
No.84,2017-11-21 22:31:22,臺中市,龍井區,Bai,
No.85,2017-11-21 23:52:34,花蓮縣,花蓮市,kabun,
No.86,2017-11-22 00:35:55,臺中市,沙鹿區,Jacky Hsueh,不應該由全民買單
No.87,2017-11-22 10:22:10,臺中市,北屯區,Johnys,"同意
為甚麼我要花錢養垃圾"
No.88,2017-11-22 10:59:27,臺中市,大甲區,落雨聲,
No.89,2017-11-22 11:12:13,新竹市,北區,daniel,"使用者付費的原則,既然犯法為何還要全民買單養這些人渣,犯了法關進去,吃喝拉渣睡理應自行付費,在裡面好好反省而不是在裡面享用一切免費."
No.90,2017-11-22 11:43:48,高雄市,鳳山區,pooh,犯罪者不應該要納稅人民花錢養他們
No.91,2017-11-22 12:05:42,臺北市,文山區,Q,
No.92,2017-11-22 12:22:30,新北市,新莊區,Xuan,
No.93,2017-11-22 13:33:20,臺中市,北區,justices,或是出獄後按月償還!!
No.94,2017-11-22 14:32:52,臺南市,東區,jerry,
No.95,2017-11-22 18:09:32,臺北市,大同區,ys703,"支持本提案。重罪犯不被判死刑,對社會傷害已經很大了,
還要用老百姓的納稅錢養這些人渣,未免太不合理!!"
No.96,2017-11-22 21:17:11,花蓮縣,花蓮市,andykittywei,
No.97,2017-11-22 23:29:33,臺中市,西屯區,Kiki,
No.98,2017-11-23 01:40:48,桃園市,中壢區,小伍,
No.99,2017-11-23 04:45:46,臺中市,南區,睡神,
No.100,2017-11-23 05:25:14,彰化縣,員林鎮,阿鈞,支持。
No.101,2017-11-23 11:28:47,臺南市,新市區,EX,
No.102,2017-11-23 15:01:09,新北市,樹林區,小小朱,
No.103,2017-11-23 22:49:48,臺北市,士林區,神秘人910,
No.104,2017-11-24 07:09:44,桃園市,平鎮區,錯了就要認,
No.105,2017-11-24 09:15:09,桃園市,桃園區,roger,
No.106,2017-11-24 21:04:36,臺中市,北屯區,寬寬,自力更生才是更生人
No.107,2017-11-24 21:22:07,臺中市,太平區,保加利亞,
No.108,2017-11-24 21:41:33,臺中市,大甲區,風,
No.109,2017-11-25 11:37:21,新北市,板橋區,1234,
No.110,2017-11-25 11:51:31,雲林縣,四湖鄉,Yi,
No.111,2017-11-25 12:56:09,新北市,新莊區,Vicky,
No.112,2017-11-25 13:38:09,屏東縣,屏東市,resist,
No.113,2017-11-25 16:31:34,高雄市,岡山區,quq的邊緣喵,
No.114,2017-11-25 16:53:34,臺南市,安南區,tn631004,
No.115,2017-11-25 17:32:54,桃園市,平鎮區,四輪大爺,
No.116,2017-11-25 21:04:48,臺南市,佳里區,贊成,
No.117,2017-11-25 21:32:02,新北市,淡水區,TONY,
No.118,2017-11-25 22:41:27,臺北市,中山區,企鵝,
No.119,2017-11-26 08:53:20,臺南市,東區,兔子,
No.120,2017-11-26 23:56:54,新北市,三重區,Vagabond,
No.121,2017-11-27 07:21:20,新北市,三重區,小P,
No.122,2017-11-27 12:34:12,新北市,樹林區,不想繳稅養人渣,
No.123,2017-11-27 13:09:33,臺中市,西屯區,cancankuma,使用者付費
No.124,2017-11-27 15:23:27,新北市,土城區,Sherry,
No.125,2017-11-27 18:06:32,宜蘭縣,五結鄉,阿求,
No.126,2017-11-27 19:21:40,新竹市,東區,吱吱,
No.127,2017-11-27 22:46:45,嘉義縣,民雄鄉,神月橘,
No.128,2017-11-27 23:14:08,桃園市,桃園區,William,
No.129,2017-11-28 14:04:32,新北市,泰山區,Wolf,
No.130,2017-11-29 15:47:00,高雄市,苓雅區,minshall,
No.131,2017-11-29 20:47:25,新竹縣,竹東鎮,麥,
No.132,2017-11-30 11:33:16,臺中市,石岡區,黃木,使用者付費！
No.133,2017-12-03 13:05:04,高雄市,楠梓區,蔡小宏,
No.134,2017-12-04 14:49:30,臺北市,大安區,Jerry Chu,
No.135,2017-12-05 18:45:43,嘉義縣,太保市,溫皇,
No.136,2017-12-05 19:09:10,臺中市,豐原區,麥問,
No.137,2017-12-08 12:19:19,臺北市,中正區,David,
No.138,2017-12-08 21:01:01,雲林縣,虎尾鎮,sinco,
No.139,2017-12-08 22:09:01,宜蘭縣,三星鄉,Aki,
No.140,2017-12-08 22:47:22,桃園市,中壢區,"阿信Kenji ",
No.141,2017-12-11 17:32:06,新北市,新店區,may ray,
No.142,2017-12-12 23:00:40,高雄市,鳳山區,Yoyo,
No.143,2017-12-13 23:49:17,桃園市,龜山區,典玥,本來就是要!我為什麼要養一個犯罪的人？
No.144,2017-12-21 16:55:10,嘉義市,東區,eshihao,
No.145,2018-01-02 11:06:41,臺中市,北屯區,aaron99035,
No.146,2018-01-03 14:21:51,新北市,新店區,Brian,
No.147,2018-01-04 20:52:45,臺中市,北屯區,will,強制勞動所得支付監管成本及受害人賠償，剩餘歸受刑人所有，避免出獄走頭無路再犯。
No.148,2018-01-07 18:57:05,嘉義縣,朴子市,CROW,"他們進去為自己的事情負責
憑什麼要我們老百姓納的稅養活他們"
No.149,2018-01-10 11:15:48,臺北市,中正區,Hui,
No.150,2018-01-12 15:28:06,新北市,三重區,sue,
No.151,2018-01-13 09:12:34,臺中市,潭子區,Hank,
No.152,2018-01-15 10:50:38,臺中市,西屯區,吃油貓,

