"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-01 09:35:07,新竹市,香山區,兒兒兒,
No.2,2017-11-01 10:06:57,新北市,蘆洲區,Kevin,
No.3,2017-11-01 10:17:46,臺北市,中山區,小市民,減少意外是大家共同的目標。
No.4,2017-11-01 10:47:34,新竹縣,竹北市,天堂鳥,非常認同
No.5,2017-11-01 15:43:33,新北市,汐止區,葉小新,很多不幸真的都可以避免的.
No.6,2017-11-01 16:45:02,新北市,新莊區,吳大,可避免視線盲點，有助於釐清肇事原因責任
No.7,2017-11-01 17:26:41,臺北市,南港區,Ken,
No.8,2017-11-01 17:43:12,桃園市,龍潭區,台灣之子,
No.9,2017-11-01 20:40:31,臺中市,南屯區,v86861062,
No.10,2017-11-01 20:48:49,桃園市,楊梅區,chnchang,
No.11,2017-11-01 20:54:29,屏東縣,屏東市,BB,這樣才對起他用路人安全
No.12,2017-11-01 21:35:14,高雄市,三民區,sunshine0962,
No.13,2017-11-01 23:00:10,臺中市,南屯區,艾倫,
No.14,2017-11-02 00:59:05,臺北市,內湖區,CCC,
No.15,2017-11-02 09:33:23,臺北市,中正區,藍圖,
No.16,2017-11-02 11:52:38,高雄市,苓雅區,市民,
No.17,2017-11-02 12:30:48,新北市,林口區,Peiyuli,
No.18,2017-11-02 14:52:50,高雄市,苓雅區,豐,強力支持
No.19,2017-11-02 16:50:24,新北市,汐止區,jkao,
No.20,2017-11-02 16:53:21,臺中市,中區,Homura Akemi,
No.21,2017-11-02 18:05:33,新竹市,香山區,Alan,
No.22,2017-11-02 18:39:11,屏東縣,萬丹鄉,屏東彭于晏,這是應該要的
No.23,2017-11-02 20:33:46,新北市,三重區,Ulysses,
No.24,2017-11-02 20:49:57,臺北市,信義區,angelsky777,
No.25,2017-11-02 21:02:38,彰化縣,社頭鄉,lll,
No.26,2017-11-02 22:18:01,苗栗縣,竹南鎮,李益,
No.27,2017-11-02 22:28:46,臺中市,西區,wan,
No.28,2017-11-02 22:53:37,新北市,新店區,鼶鼰,
No.29,2017-11-02 23:00:42,桃園市,龜山區,軟糖,
No.30,2017-11-03 06:52:20,高雄市,鹽埕區,piece,
No.31,2017-11-03 06:59:29,新北市,蘆洲區,Irene,
No.32,2017-11-03 07:19:32,屏東縣,潮州鎮,小瑾,
No.33,2017-11-03 07:36:17,高雄市,左營區,俊平,
No.34,2017-11-03 08:18:17,桃園市,桃園區,阿立,
No.35,2017-11-03 08:30:18,高雄市,三民區,嘎嘎,
No.36,2017-11-03 08:32:52,桃園市,平鎮區,Hou,
No.37,2017-11-03 08:42:25,桃園市,龍潭區,Sin,
No.38,2017-11-03 09:12:17,花蓮縣,新城鄉,小峰,
No.39,2017-11-03 09:25:20,南投縣,南投市,蔥油餅,先進國家必備的單品。
No.40,2017-11-03 09:34:40,臺南市,南區,小萍,
No.41,2017-11-03 09:36:18,彰化縣,彰化市,林森路,+1
No.42,2017-11-03 09:46:14,新北市,中和區,Luis,
No.43,2017-11-03 09:54:20,雲林縣,斗南鎮,Becky,
No.44,2017-11-03 10:08:49,桃園市,蘆竹區,李小遠,
No.45,2017-11-03 10:20:15,臺中市,清水區,王駿,
No.46,2017-11-03 10:25:47,臺南市,永康區,Lucas,
No.47,2017-11-03 10:28:16,臺南市,永康區,JJason,安全第一，可降低肇事率。
No.48,2017-11-03 10:41:18,桃園市,楊梅區,小呆,讓大家都平安~這個主意很好~相信可降低傷亡!
No.49,2017-11-03 11:25:52,高雄市,楠梓區,Stanlin,
No.50,2017-11-03 11:49:28,新北市,中和區,RH,
No.51,2017-11-03 12:28:04,南投縣,名間鄉,茶葉蛋,
No.52,2017-11-03 12:31:09,高雄市,三民區,HSIEH,
No.53,2017-11-03 12:52:13,臺北市,中山區,帥氣的浣熊,
No.54,2017-11-03 12:54:34,高雄市,小港區,開語,
No.55,2017-11-03 13:05:31,桃園市,中壢區,ilona,
No.56,2017-11-03 13:13:44,新竹縣,北埔鄉,Sara,
No.57,2017-11-03 13:22:30,臺中市,北屯區,廖芋頭,我自己本身也是大貨車駕駛，我也非常贊成加裝盲點偵測或者行車記錄器，對於行車安全或者釐清肇事責任都是有幫助的。
No.58,2017-11-03 13:32:42,新竹縣,竹東鎮,小祐子,支持
No.59,2017-11-03 13:46:15,臺南市,北區,shiang,
No.60,2017-11-03 13:49:22,屏東縣,萬丹鄉,AChirp,
No.61,2017-11-03 13:55:54,新北市,新店區,鄭琳琳,強制要求大型車輛安裝盲點偵測、倒車顯影及環景系統
No.62,2017-11-03 14:01:44,臺北市,大安區,焦糖媽,
No.63,2017-11-03 14:14:56,新北市,板橋區,Trista,隨著科技發達更要發揮有其用之處，裝置盲點增加安全性！
No.64,2017-11-03 14:15:35,苗栗縣,苑裡鎮,張夏天,
No.65,2017-11-03 14:35:07,新北市,土城區,小林,
No.66,2017-11-03 14:39:41,高雄市,鳳山區,BOBO,
No.67,2017-11-03 15:43:10,臺北市,南港區,xxdgrz,讓肇事的大卡車大貨車司機少點藉口
No.68,2017-11-03 15:47:28,臺中市,南屯區,Jam,
No.69,2017-11-03 16:42:08,新竹縣,竹北市,Benson,
No.70,2017-11-03 16:43:44,新竹市,東區,小螞蟻,
No.71,2017-11-03 16:46:50,桃園市,龍潭區,Nate,"安全著想
包含大型工程，作業車"
No.72,2017-11-03 16:58:35,新北市,三重區,actic,
