"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-17 00:21:26,臺中市,南區,Alice Tsai,養寵物若獨居在外需離家到外地，無人照顧寵物，只有帶著寵物一起搭交通工具，希望寵物免車資能讓有寵物者能攜帶同行，才不會疏於照顧。
No.2,2017-11-17 08:54:34,南投縣,南投市,Lucas,
No.3,2017-11-17 09:56:22,桃園市,平鎮區,四輪大爺,
No.4,2017-11-17 10:02:48,桃園市,平鎮區,彤彤,常常搭車寵物小小一隻也要付錢又沒有佔位子是覺得有點沒有道理，而且來回就要310真的覺得不便宜呀！如果寵物可以不收費該有多好，現在社會已經不景氣了！薪水也沒有增加！希望可以改進不收費 310也能吃好幾餐了😂😂😂
No.5,2017-11-17 11:30:37,臺南市,永康區,OMI,
No.6,2017-11-17 11:38:15,新竹市,東區,SaSa,
No.7,2017-11-17 12:46:24,彰化縣,福興鄉,ZM,
No.8,2017-11-17 12:48:56,新北市,板橋區,J,
No.9,2017-11-17 12:50:11,新北市,林口區,小不點,
No.10,2017-11-17 12:50:37,臺南市,東區,Sera,
No.11,2017-11-17 12:52:30,臺中市,北屯區,Iris,
No.12,2017-11-17 13:14:20,基隆市,中正區,mimi,
No.13,2017-11-17 13:19:04,苗栗縣,頭份市,貓,
No.14,2017-11-17 13:23:50,新北市,板橋區,林喵喵,
