"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-30 09:19:54,南投縣,竹山鎮,204,
No.2,2017-12-30 13:41:19,新竹市,東區,友,情節重大者也可以直接退學處分，不想讀就早點工作
No.3,2017-12-31 20:38:39,新北市,永和區,Arthur Xiao,
No.4,2018-01-01 11:10:11,桃園市,桃園區,southdog6932,
No.5,2018-01-01 20:11:15,臺中市,豐原區,SS,
No.6,2018-01-02 10:12:48,屏東縣,東港鎮,hfj,"現在小孩已被寵到天不怕地不怕,在校期間一副你們也不能把我怎樣的熊度,沒留級也沒退學,學分數不夠還可以跟著同學繼續升到2或3年級,到3下只取得3~40學分數的大有人在,個人建議不只要恢復退學,也要恢復留級制度。"
No.7,2018-01-02 11:53:27,高雄市,三民區,黑果醬,
No.8,2018-01-02 17:08:33,高雄市,三民區,Jimmy,
No.9,2018-01-03 12:52:22,新北市,五股區,讚讚,
No.10,2018-01-06 20:54:43,嘉義縣,新港鄉,嵐,畢業證書形同廢紙，學力檢測可見一斑，有多少人識字和寫字能力不足
No.11,2018-01-07 10:05:12,臺北市,中正區,牧民,
No.12,2018-01-07 17:26:05,雲林縣,崙背鄉,瓜,
No.13,2018-01-08 15:10:04,桃園市,中壢區,C,
No.14,2018-01-08 22:07:36,高雄市,小港區,CHL,有些學生，上課滑手機、干擾秩序，稍微管教一下，輕則大聲嚷嚷、嗆聲，嚴重則直接人身攻擊辱罵三字經、五字經，結果目前可以處置的手段也只有記過不痛不癢，如果不能以退學最為最終手段，那請問記過到底有何用處？象牙塔裡的人口口聲聲說受教權，那請問更多想上課的學學受教權又在哪裡？
No.15,2018-01-09 14:08:26,高雄市,小港區,Brook,養成學生為自己負責的態度，而不是任由他們為所欲為、不知進退，適當的處罰與提醒是必要的。
No.16,2018-01-09 14:21:44,高雄市,新興區,Jeffery,
No.17,2018-01-09 14:54:53,高雄市,前鎮區,Bibo,讓我們一起建立好的教學環境，讓師生好好教學
No.18,2018-01-09 15:26:04,高雄市,三民區,學文,支持
No.19,2018-01-09 15:31:51,高雄市,苓雅區,庭榛,支持
No.20,2018-01-09 15:34:43,高雄市,鳳山區,hsunworld,
No.21,2018-01-09 15:41:13,臺南市,永康區,葉小沙,
No.22,2018-01-09 17:54:23,高雄市,前金區,蘇志燮,品德教育是要有基本的標準，都已經達到3大過了。繼續在學校，勢必會影響到其他的學生。請學生家長帶回自行管教，不要再造成其他學生和家長的困擾了
No.23,2018-01-09 23:49:47,花蓮縣,花蓮市,小小,1.教育現場亂象，始源於學生無論曠課多少或被記多少過，只要不班休學，就可以一直存在班級裡，自己沒有學習動機又要妨礙同學的學習，真的很無奈。
No.24,2018-01-10 08:49:52,臺中市,太平區,Yun,
No.25,2018-01-10 21:45:52,高雄市,前鎮區,Sherrycheng,
No.26,2018-01-13 22:22:07,新北市,板橋區,興子爵,
No.27,2018-01-14 08:43:24,彰化縣,員林鎮,咪咪虎,請保障多數學生的受教權
No.28,2018-01-14 08:53:20,南投縣,南投市,Amanda,
No.29,2018-01-19 07:38:55,南投縣,埔里鎮,ㄚ翔,
No.30,2018-01-19 07:44:27,花蓮縣,壽豐鄉,kuenryu,
No.31,2018-01-19 07:50:59,高雄市,苓雅區,指揮官,
No.32,2018-01-19 08:51:51,臺南市,南區,蘇育德,
No.33,2018-01-19 09:18:22,新北市,中和區,L,應該是說累滿三大過...有些人真的只來班上亂的，他們不來班上還比教安靜！
No.34,2018-01-20 13:15:18,臺南市,安平區,subsets,
No.35,2018-01-20 13:21:39,基隆市,七堵區,張先生,
No.36,2018-01-20 22:05:50,屏東縣,潮州鎮,Eat,
No.37,2018-02-08 16:25:40,宜蘭縣,宜蘭市,chakini,

