"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-05 00:50:42,新北市,中和區,WK,
No.2,2018-01-05 11:39:51,臺北市,中正區,berbers,
No.3,2018-01-05 12:21:46,雲林縣,斗南鎮,蒼蠅,
No.4,2018-01-05 16:22:37,彰化縣,秀水鄉,述喵,
No.5,2018-01-05 19:31:06,臺北市,士林區,BigZoo,
No.6,2018-01-05 19:49:23,臺北市,中山區,Yohan T,"早該廢除e化的殺手 -自然人憑證，硬是要使用一個全世界快停產的硬體來登陸這叫什麼e化，建議可以用ID+密碼，搭配幾個安全問題，例如小學名字，寵物名字等等來確認安全性即可，當科技已經進步到指紋辨識. 臉部辨識, 死守20年前的科技只會讓台灣更落後"
No.7,2018-01-06 11:08:06,彰化縣,二林鎮,Husker,
No.8,2018-01-06 12:56:16,彰化縣,溪州鄉,wenchen,
No.9,2018-01-07 00:29:41,新北市,三重區,小瓜呆,從第一代自然人憑證一發行就申請的人，直到現在看，還是一團亂！
No.10,2018-01-07 00:38:28,臺南市,北區,Leo,
No.11,2018-01-07 00:49:42,桃園市,中壢區,C.A.Lee,期望包含郵局 webATM 都可以 native 支援到至少 chrome 與 Ubuntu 16.04
No.12,2018-01-07 01:58:10,屏東縣,屏東市,a2468834,
No.13,2018-01-07 03:14:34,臺北市,南港區,PCC,
No.14,2018-01-07 05:04:26,新竹市,東區,Brongniart,真要推廣、就得要做的簡潔方便才能吸引人
No.15,2018-01-07 12:25:24,臺北市,內湖區,Vence,
No.16,2018-01-07 14:46:40,臺中市,南區,永璿,
No.17,2018-01-07 19:11:15,新北市,三重區,Vagabond,
No.18,2018-01-07 20:58:21,新北市,蘆洲區,全全,
No.19,2018-01-07 22:37:53,臺北市,中山區,pennyken,
No.20,2018-01-07 22:45:49,臺北市,中正區,YiHung Cheng,
No.21,2018-01-07 22:50:10,桃園市,龜山區,Eisen,整合一下吧，自然人憑證是個好東西，應該多推廣才是，另外，從中央與地方也應該多運用才是 ~
No.22,2018-01-08 01:16:44,新北市,中和區,GT,
No.23,2018-01-08 04:23:01,臺南市,北區,Haochi Kao,
No.24,2018-01-08 09:12:43,高雄市,鳳山區,viking,
No.25,2018-01-08 12:49:49,臺中市,大里區,寶哥,
No.26,2018-01-08 22:22:59,新北市,林口區,吳仲昇,可以簡單做好的東西一直做不好，乾脆不要做資料公開給別人幫忙
No.27,2018-01-10 14:29:40,高雄市,左營區,Unciax,
No.28,2018-01-10 15:04:50,南投縣,草屯鎮,丹尼爾,
No.29,2018-01-10 21:14:16,臺北市,文山區,yoyoIU,
No.30,2018-01-10 21:21:18,桃園市,中壢區,呆呆老師,單一憑證的認證又綁古老容易入侵的元件，是該改變了！
No.31,2018-01-10 22:29:45,臺北市,大安區,Aries0d0f,
No.32,2018-01-10 22:39:25,臺北市,大同區,doraeric,
No.33,2018-01-10 22:53:21,臺北市,大安區,dc,
No.34,2018-01-11 09:01:01,桃園市,八德區,小涼,
No.35,2018-01-11 09:23:09,新北市,三重區,hans00,
No.36,2018-01-12 05:42:36,高雄市,鳳山區,Yami Odymel,
No.37,2018-01-12 14:13:05,新北市,三重區,YU,
No.38,2018-01-12 23:53:37,臺中市,潭子區,Hank,
No.39,2018-01-23 21:44:41,臺南市,東區,gnsJhenJie,使用Internet Explorer 的確容易造成電腦當機!
No.40,2018-01-25 12:07:14,新北市,新店區,Amy Kao,
No.41,2018-03-01 13:33:35,彰化縣,秀水鄉,憲政,軟體更新 維護資安和效率

