"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-29 00:56:53,臺中市,清水區,阿發,
No.2,2017-11-29 09:58:53,臺中市,西屯區,嗡嗡嗡,
No.3,2017-11-29 19:27:46,高雄市,鳳山區,開心小胖,標題:綠電發展與廢置土地活化。請幫忙支持附議。
No.4,2017-11-30 22:03:56,桃園市,大溪區,阿杰,
No.5,2017-11-30 22:30:45,臺北市,南港區,Change,薪資所得稅扣繳應以可支配所得為扣繳基礎，所以各類稅捐均需扣除剩餘金額才是可支配所得。
No.6,2017-11-30 22:32:58,高雄市,鼓山區,BEN 媽,
No.7,2017-11-30 22:35:21,高雄市,三民區,英英,
No.8,2017-12-01 23:08:16,臺中市,西屯區,阿飛,
No.9,2017-12-02 10:51:27,臺中市,北區,wclo,交過的稅不能從所得扣除，等同交二次稅，剝二層皮。
No.10,2017-12-03 13:09:05,臺北市,北投區,"Maggie ",
No.11,2017-12-03 13:22:59,基隆市,安樂區,米蘭德,非常贊同
No.12,2017-12-03 13:32:46,桃園市,楊梅區,阿興,贊同提議內容
No.13,2017-12-03 13:35:36,臺北市,南港區,Libbie,附議。
No.14,2017-12-03 13:45:15,彰化縣,員林鎮,小虎,支持本提議
No.15,2017-12-03 13:50:59,臺北市,士林區,Suhuan,
No.16,2017-12-03 14:02:46,新北市,汐止區,Peggy Wang,
No.17,2017-12-03 14:10:44,新北市,三峽區,treejoy,
No.18,2017-12-03 14:15:56,新北市,汐止區,文子,扒二次皮
No.19,2017-12-03 14:20:37,新北市,汐止區,小市民,我支持汽機車牌照稅，燃料稅，地價稅及房屋稅列入所得稅列舉扣除項目
No.20,2017-12-03 14:23:00,臺北市,大安區,冷凍魚,提案有理 願支持
No.21,2017-12-03 14:32:51,臺北市,南港區,平安,
No.22,2017-12-03 14:34:18,花蓮縣,花蓮市,Dsniel,
No.23,2017-12-03 14:46:35,澎湖縣,白沙鄉,Ideer,附議
No.24,2017-12-03 14:52:20,臺北市,北投區,Albert,
No.25,2017-12-03 14:59:58,新北市,樹林區,shiloic,覆議！！稅賦徵收需多方考量重複課稅的項目，股利稅也是其一。
No.26,2017-12-03 15:02:22,雲林縣,虎尾鎮,Qq,
No.27,2017-12-03 15:02:30,臺中市,西屯區,June,
No.28,2017-12-03 15:04:02,新北市,土城區,Ju,公平正義
No.29,2017-12-03 15:06:19,臺中市,西屯區,海天人人,附議提案者的提議
No.30,2017-12-03 15:07:34,雲林縣,斗六市,Pan,
No.31,2017-12-03 15:07:38,新北市,三峽區,yoko,
No.32,2017-12-03 15:24:51,新北市,新店區,熊熊,
No.33,2017-12-03 15:39:04,臺中市,北區,台中市民,支持附議
No.34,2017-12-03 15:39:04,臺北市,大安區,Chris,
No.35,2017-12-03 15:40:19,臺中市,西屯區,江永揚,
No.36,2017-12-03 15:46:48,臺中市,北區,sandy,
No.37,2017-12-03 16:04:42,高雄市,三民區,奇異果,
No.38,2017-12-03 16:09:44,臺北市,內湖區,AA,支持
No.39,2017-12-03 16:47:39,臺中市,北屯區,柚柚,
No.40,2017-12-03 16:51:44,新北市,中和區,Iris,
No.41,2017-12-03 16:52:22,臺北市,內湖區,庭芬,支持並附議此提議
No.42,2017-12-03 16:57:46,新北市,中和區,路人甲,汽機車之燃料及排照稅與地價稅房屋稅等應可提列為報所得稅時之列舉，也可減輕中間階級的負擔
No.43,2017-12-03 17:05:00,新北市,中和區,Dilys,
No.44,2017-12-03 17:29:08,臺中市,北區,May. Line,ㄧ隻牛不應剝多層皮。
No.45,2017-12-03 17:40:36,臺中市,北屯區,Rachel,
No.46,2017-12-03 17:41:33,臺中市,北區,kun,支持
No.47,2017-12-03 17:49:43,臺中市,太平區,Dennis Lai,贊成
No.48,2017-12-03 17:54:32,澎湖縣,馬公市,阿志,很有道理
No.49,2017-12-03 17:54:34,新北市,土城區,小丸子,公平正義
No.50,2017-12-03 17:56:04,臺中市,豐原區,小郁,
No.51,2017-12-03 17:56:18,臺北市,中正區,邱欣兒,
No.52,2017-12-03 18:11:10,臺中市,東勢區,沈燕翼,
No.53,2017-12-03 18:33:38,雲林縣,斗六市,Cash Hsin,
No.54,2017-12-03 19:22:20,新北市,板橋區,克萊兒,同意
No.55,2017-12-03 19:25:34,臺北市,信義區,Hsin,
No.56,2017-12-03 19:32:01,南投縣,南投市,小容,
No.57,2017-12-03 19:57:25,臺中市,南區,Meganho,
No.58,2017-12-03 20:47:25,臺中市,潭子區,小霖,
No.59,2017-12-03 20:54:27,彰化縣,彰化市,Ken,
No.60,2017-12-03 20:56:50,桃園市,八德區,Jeffrey Chen,
No.61,2017-12-03 21:02:44,高雄市,鳳山區,Y明,
No.62,2017-12-03 21:23:48,臺中市,東區,Mary,支持本提議想法
No.63,2017-12-03 21:33:58,屏東縣,屏東市,Ruser,
No.64,2017-12-03 22:11:27,屏東縣,屏東市,Sunya,
No.65,2017-12-03 22:28:13,雲林縣,莿桐鄉,費歐,
No.66,2017-12-03 22:29:55,臺中市,西屯區,波吉,
