"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-04 00:40:53,新北市,汐止區,Goldie,
No.2,2017-08-04 08:57:34,新北市,中和區,TOM,
No.3,2017-08-04 11:05:02,新北市,永和區,黑金剛,
No.4,2017-08-04 14:13:26,新北市,新莊區,ㄑㄑ,
No.5,2017-08-04 16:01:55,新北市,五股區,Lewis Hsu,"建議認證本人持用的方式可以讓國民本人選擇：
1. 利用生物特徵辨識，如：指紋。
2. 利用密碼。
國民可以選擇「二式憑一式」，或「單行一式」方式進行身份認證。
並在其中加入金鑰功能，如同自然憑證（取代自然人憑證）。"
No.6,2017-08-04 17:08:27,彰化縣,和美鎮,小資,
No.7,2017-08-04 20:27:29,彰化縣,員林鎮,瑀,
No.8,2017-08-04 20:48:29,臺北市,士林區,shawn,
No.9,2017-08-05 08:30:46,新北市,新店區,小白,
No.10,2017-08-05 18:14:46,臺北市,大安區,康至青,
No.11,2017-08-05 18:46:46,臺北市,文山區,LEO,
No.12,2017-08-05 19:30:15,新北市,土城區,STEVEN,
No.13,2017-08-06 12:11:47,嘉義市,東區,"Jessica ",
No.14,2017-08-06 18:18:22,苗栗縣,頭份市,greatfaye,
No.15,2017-08-06 19:47:28,嘉義市,西區,秦皇,
No.16,2017-08-06 20:08:24,嘉義縣,太保市,ttaiwan,
No.17,2017-08-06 22:53:28,彰化縣,彰化市,核統,
No.18,2017-08-06 23:05:36,臺北市,士林區,Sammy,
No.19,2017-08-07 07:51:39,彰化縣,彰化市,Line,
No.20,2017-08-07 08:55:48,新北市,泰山區,LEO,
No.21,2017-08-07 13:02:18,新北市,新店區,nerdwannabe,"支持晶片身分證, 但是不支持多卡合一的證件.  身分證應該單純是身分證.  戶政司也已經說明晶片身分證紙會有自然人憑證功能."
No.22,2017-08-07 22:46:03,高雄市,三民區,alex,
No.23,2017-08-09 00:47:00,新北市,板橋區,eason,
No.24,2017-08-09 01:20:42,臺中市,北屯區,威爾森,
No.25,2017-08-09 11:39:38,新北市,林口區,Change,
No.26,2017-08-10 10:43:41,臺中市,西屯區,遊客112,
No.27,2017-08-10 11:58:12,臺北市,文山區,詹姆士,
No.28,2017-08-10 15:56:57,臺中市,南屯區,蛋黃酥,
No.29,2017-08-11 13:55:30,臺北市,內湖區,松鼠,確實我們身分證要快點邁入下一個時代，不然我們有什麼東西可以跟別的國家競爭?我們該要進步了。
No.30,2017-08-14 05:11:11,臺中市,北屯區,SE7EN,
No.31,2017-08-14 17:11:56,桃園市,八德區,JK,
No.32,2017-08-14 17:19:45,桃園市,大溪區,吳宛庭,
