"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-14 00:34:17,高雄市,小港區,小樂,
No.2,2017-12-14 08:58:20,高雄市,鳳山區,Sua-gōo-lông,
No.3,2017-12-14 11:45:29,臺南市,新化區,JJ,
No.4,2017-12-14 12:26:54,基隆市,中正區,jichin,
No.5,2017-12-14 14:01:17,新北市,淡水區,MIKE,
No.6,2017-12-14 14:02:19,新北市,新店區,may ray,
No.7,2017-12-14 15:08:51,高雄市,鳳山區,Chun,
No.8,2017-12-14 16:49:55,桃園市,楊梅區,chain,
No.9,2017-12-14 20:18:38,桃園市,桃園區,沛沛,
No.10,2017-12-14 20:59:34,高雄市,鳳山區,LazyCat,
No.11,2017-12-15 00:00:38,高雄市,大社區,紅帥,
No.12,2017-12-15 00:13:23,新北市,新店區,Kao,
No.13,2017-12-15 00:35:15,新北市,板橋區,Tony,
No.14,2017-12-15 10:38:10,高雄市,三民區,吳永泰,
No.15,2017-12-15 10:53:04,嘉義市,東區,台灣島民,亂世用重點
No.16,2017-12-15 12:00:26,臺南市,東區,Lin,
No.17,2017-12-15 14:13:08,新北市,三重區,小芳,
No.18,2017-12-15 16:44:39,臺北市,士林區,tsaiwh1971,支持本提議
No.19,2017-12-15 22:01:42,臺中市,南屯區,鬼斗,
No.20,2017-12-15 23:46:30,高雄市,鹽埕區,Vincent,
No.21,2017-12-16 20:32:03,新北市,板橋區,小牛,
No.22,2017-12-16 21:28:36,臺北市,北投區,"Geh,Diong-Sin",完全支持，就是做壞事，讓你一輩子都在通緝。
No.23,2017-12-16 22:36:40,臺中市,大里區,"Murphy ",
No.24,2017-12-17 12:13:24,臺中市,北屯區,安,
No.25,2017-12-17 17:36:25,新北市,汐止區,橘貓咬尾巴,正義終須聲張  怎可有限期
No.26,2017-12-17 22:25:31,臺北市,南港區,Brian,
No.27,2017-12-18 06:14:33,高雄市,鳳山區,B,
No.28,2017-12-18 08:01:38,臺北市,文山區,小賴,
No.29,2017-12-18 08:09:00,桃園市,中壢區,JT Han,
No.30,2017-12-18 10:40:11,桃園市,八德區,Jason,
No.31,2017-12-18 13:08:56,新北市,三峽區,akina,
No.32,2017-12-18 14:07:41,臺中市,沙鹿區,王常輝,支持本提議想法
No.33,2017-12-18 17:59:04,高雄市,楠梓區,00,
No.34,2017-12-18 19:25:37,高雄市,楠梓區,zephoenixro,
No.35,2017-12-18 22:36:28,高雄市,鼓山區,Mrcan,
No.36,2017-12-20 00:17:15,高雄市,鳳山區,Scort,
No.37,2017-12-20 21:40:37,臺北市,松山區,ZK,
No.38,2017-12-21 22:24:44,新北市,鶯歌區,islet,讓這些人拖延時間，就能逍遙法外，享受犯罪利益，太沒天理了
No.39,2017-12-22 14:59:59,臺中市,大甲區,落雨聲,
No.40,2017-12-23 09:23:05,新北市,土城區,橘子冰沙,
No.41,2017-12-23 16:52:44,彰化縣,芬園鄉,張小敏,
No.42,2017-12-25 14:19:47,新竹市,北區,梁小白,
No.43,2017-12-25 22:11:21,臺中市,大里區,光正,
No.44,2017-12-27 10:04:43,臺南市,官田區,Superinhigh,
No.45,2018-01-03 21:41:22,臺中市,北屯區,will,千古罪人就該千古追人
No.46,2018-01-04 17:28:22,新北市,淡水區,蔡胖胖,
No.47,2018-01-05 20:59:35,南投縣,草屯鎮,獨白,
No.48,2018-01-05 21:28:07,新竹市,東區,Yee,支持
No.49,2018-01-06 23:14:24,桃園市,八德區,JK,
No.50,2018-01-06 23:45:32,桃園市,桃園區,陳諺霖,
No.51,2018-01-07 21:59:03,臺北市,中山區,Ethan Lin,
No.52,2018-01-13 00:55:28,高雄市,小港區,青蛙,搞時效消滅這招最厲害的就是官官相護的政府官員和不孝司法人員
No.53,2018-01-13 22:31:18,新北市,板橋區,興子爵,

