"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-14 14:42:59,臺中市,大甲區,落雨聲,
No.2,2017-11-14 21:43:38,臺中市,東區,森林,
No.3,2017-11-15 06:17:50,新北市,新店區,誠,詐欺刑度太低，所以台灣詐欺犯滿天下
No.4,2017-11-15 10:02:08,花蓮縣,吉安鄉,shi,
No.5,2017-11-15 21:11:07,新竹市,北區,小鄭,
No.6,2017-11-16 06:22:16,臺中市,西屯區,小米,
No.7,2017-11-16 16:26:04,臺南市,北區,Amber Hu,
No.8,2017-11-16 17:56:06,基隆市,中山區,Anny Hsu,
No.9,2017-11-16 19:08:58,桃園市,桃園區,曉蔓,
No.10,2017-11-16 19:56:39,新竹市,東區,SU,
No.11,2017-11-16 20:55:44,臺北市,北投區,LIN ROBERT,
No.12,2017-11-16 22:50:12,臺中市,沙鹿區,小P,
No.13,2017-11-16 23:19:04,新北市,新莊區,呂小綺,詐欺大國該好好整治了
No.14,2017-11-17 11:26:32,桃園市,桃園區,Danny,
