"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-20 00:29:23,臺南市,中西區,Charles Lin,非常贊同
No.2,2018-01-20 01:19:30,新北市,汐止區,jackas,整天嗆高雄捷運浪費錢，怎麼不說當初北捷拿了中央一堆預算。
No.3,2018-01-20 10:33:39,新竹市,東區,瓦拉米,贊成建在關渡平原，可接近全台消耗石化產出品最大的市場又方便喜歡在台北築夢的年輕人就業，一舉數得。
No.4,2018-01-20 11:53:22,臺南市,北區,"Juan Huang ",
No.5,2018-01-20 12:22:32,高雄市,小港區,英雄願望君,
No.6,2018-01-20 15:01:33,臺南市,北區,Dora Hsu,
No.7,2018-01-20 15:03:04,新北市,三重區,Vagabond,
No.8,2018-01-20 17:56:47,雲林縣,臺西鄉,當山神的車手,
No.9,2018-01-20 18:17:25,臺中市,東區,P YU CHEN,
No.10,2018-01-22 10:23:04,臺中市,大里區,花,
No.11,2018-01-22 14:08:13,高雄市,湖內區,娘娘,
No.12,2018-01-22 15:24:47,嘉義縣,布袋鎮,meng,"北部油品需求大, 提煉後就近運輸,節省運送人力與成本"
No.13,2018-01-22 21:59:53,高雄市,阿蓮區,阿貴,支持
No.14,2018-01-24 11:32:12,高雄市,鳳山區,香草,
No.15,2018-01-29 18:11:20,新北市,新店區,Paul,支持本項提議 增加北部地區民眾就業機會!!!

