"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-04 00:14:26,嘉義市,東區,hugo,以電池規格來看，其實已經高下立判，真的要盡快組成台灣隊了。
No.2,2018-04-04 00:21:41,桃園市,桃園區,火痕,公版趕快確認吧
No.3,2018-04-04 00:23:26,臺南市,永康區,TY,
No.4,2018-04-04 00:30:10,高雄市,左營區,keta.liu,儘速決定電池公版規格，勿一拖再拖
No.5,2018-04-04 00:31:52,新北市,三重區,用愛發電,無法得到國際認證的廠商，是否就該淘汰，政府政策既定，效率是否提升
No.6,2018-04-04 00:57:05,高雄市,楠梓區,mindarli,
No.7,2018-04-04 01:29:03,高雄市,大寮區,tanchilin,
No.8,2018-04-04 01:31:25,新北市,板橋區,Shang,
No.9,2018-04-04 01:40:06,新北市,中和區,Mark Chou,拖太久對產業發展不利
No.10,2018-04-04 01:53:32,臺中市,梧棲區,jiminhorng,很棒的點子
No.11,2018-04-04 01:55:08,高雄市,左營區,湯寶寶,
No.12,2018-04-04 01:55:41,臺中市,南區,pius,
No.13,2018-04-04 05:33:40,臺北市,信義區,Tina,
No.14,2018-04-04 05:51:03,高雄市,左營區,騰騰,
No.15,2018-04-04 06:43:27,高雄市,左營區,狂小象,
No.16,2018-04-04 06:46:26,臺中市,南屯區,老闆,
No.17,2018-04-04 07:42:48,新北市,樹林區,德,
No.18,2018-04-04 09:00:36,高雄市,三民區,鯨,早日定版對相關產業的起步才能領先全球
No.19,2018-04-04 09:16:45,臺中市,豐原區,饅頭,快定下規格才能快速發展電動車，讓台灣成為全球電動車生產基地
No.20,2018-04-04 09:24:30,新北市,蘆洲區,oy,
No.21,2018-04-04 09:28:22,臺北市,北投區,廖建榮,
No.22,2018-04-04 09:30:26,新北市,中和區,小黑仔的主人,不要再拖了  電動機車勢在必行  政府的公版換電規格才能迅速推動
No.23,2018-04-04 10:22:44,高雄市,岡山區,To Time,趕快搞定
No.24,2018-04-04 10:24:46,新北市,新莊區,Mini,請於３個月內確定電動機車公版換電規格
No.25,2018-04-04 10:34:23,臺南市,安南區,亞力斯,為了電動車的未來請盡早做好準備
No.26,2018-04-04 10:35:05,臺南市,北區,Charlie,支持公規推動，不要讓無良企業繼續領取補助
No.27,2018-04-04 10:36:28,臺南市,永康區,鄭鄭,gogogo
No.28,2018-04-04 10:37:32,彰化縣,員林鎮,LittleMO,
No.29,2018-04-04 10:44:51,高雄市,鳳山區,diego,
No.30,2018-04-04 10:56:58,嘉義市,西區,Leslie,電池統一可有效整合資源 政府之選擇方向 應以已運作時日 技術成熟的廠商 避免採用缺乏實際應用之系統而日後問題不斷 浪費資源 並以多數市場使用者為考量 以順市場所趨 gogoro是已運作三年之成功廠商 請支持用心改便乾淨安全能源的公司 一起為守護台灣永續努力
No.31,2018-04-04 10:57:56,雲林縣,斗南鎮,涵,希望公版能趕快下來
No.32,2018-04-04 11:21:21,臺北市,北投區,江嘉,政府趕快做事
No.33,2018-04-04 11:33:06,臺中市,北屯區,Kary,台灣的競爭力就看這一戰
No.34,2018-04-04 11:37:28,臺南市,北區,阿亮,不要拖拖拉拉，快點搞定。
No.35,2018-04-04 11:44:06,臺中市,南區,阿杜,
No.36,2018-04-04 11:44:09,臺北市,大安區,Smallville,
No.37,2018-04-04 11:55:13,新北市,板橋區,楓林寺,
No.38,2018-04-04 11:57:30,彰化縣,花壇鄉,我們已慢對岸幾十年,政治內鬥、政商非理性勾結，台灣發展已落後中國大陸幾十年，不要再拖延了，拿出睿智與魄力。
No.39,2018-04-04 12:01:18,屏東縣,萬巒鄉,小國子,
No.40,2018-04-04 12:32:29,臺北市,大安區,Henry,
No.41,2018-04-04 13:18:11,桃園市,大園區,"lpms ",
No.42,2018-04-04 13:41:22,臺北市,士林區,Jason,
No.43,2018-04-04 14:39:18,桃園市,大溪區,Andy,
No.44,2018-04-04 15:10:25,臺中市,神岡區,Rita,Gogoro的電池都有國際安全認證，而且都走雲端科技，若以此規格早日公規化，可以早日進軍國際市場
No.45,2018-04-04 15:21:22,高雄市,新興區,Hank,
No.46,2018-04-04 15:51:06,桃園市,大溪區,terry,
No.47,2018-04-04 17:41:57,臺北市,中山區,朱哥,
No.48,2018-04-04 18:54:52,臺北市,中山區,Allen,
No.49,2018-04-04 19:22:22,臺南市,麻豆區,台南金城武,"工業局真的等某家廠商等太久了, 嚴重延宕台灣電動機車發展, 請盡速制訂"
No.50,2018-04-04 19:36:58,桃園市,新屋區,南非王子,
No.51,2018-04-04 19:43:29,新北市,中和區,P,
No.52,2018-04-04 19:50:19,臺南市,歸仁區,C.Y.TSAI,三個月太久，二個月就須完成，不能等。
No.53,2018-04-05 01:45:03,臺中市,南屯區,海苔,
No.54,2018-04-06 07:51:27,苗栗縣,苗栗市,阿俊,
No.55,2018-04-06 17:52:08,新北市,五股區,優繞,
No.56,2018-04-06 21:27:19,臺北市,信義區,KEN,促進國家的進步，創新國民的思維!人人有責!

