"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-26 06:31:43,彰化縣,彰化市,布偶草綠,台灣進入募兵制時期，還要限定男生當４個月的兵，實在名不符實，因此，實施真正的募兵制，應該廢除４個月的軍事訓練，除非恢復徵兵制，那必須男性與女性都要加入徵兵的行列，在法律上才算是公平，不會有男生因生涯規劃落後女生的情形
No.2,2017-12-26 10:05:12,彰化縣,秀水鄉,安,
No.3,2017-12-26 17:37:37,新北市,林口區,啊瀚,
No.4,2017-12-26 19:57:35,新北市,新店區,一一,
No.5,2017-12-26 21:06:53,臺中市,西屯區,Atomborg,
No.6,2017-12-27 15:08:01,雲林縣,斗南鎮,慧,
No.7,2017-12-29 14:01:52,桃園市,中壢區,邰灣人,國家應脫離傳統獨裁徵兵手斷來洗腦人民，當兵的這四個月到底學到什麼？為何傳統觀念要以當過兵才是真男人？值得慎思
No.8,2017-12-31 10:10:26,新北市,汐止區,梁聖瑋,我確定可以
No.9,2017-12-31 11:52:40,高雄市,大寮區,蛙蛙,
No.10,2018-01-01 16:54:23,臺南市,北區,雯雯,
No.11,2018-01-03 22:34:24,臺北市,內湖區,JB20,
No.12,2018-01-08 13:48:01,臺中市,清水區,Jason Hong,如果全面募兵，那就必須取消
No.13,2018-01-08 19:08:46,桃園市,大園區,帽子旅人,
No.14,2018-01-15 20:34:14,臺北市,士林區,喵喵,非常好，堅決反對奴役男性
No.15,2018-01-16 18:15:30,新北市,新莊區,TFG,教官應退出校園！
No.16,2018-01-18 17:30:47,嘉義市,東區,q,
No.17,2018-01-19 19:00:14,高雄市,鳳山區,"King Kazma ",
No.18,2018-01-21 20:57:00,臺南市,東區,syz,
No.19,2018-01-24 21:53:23,屏東縣,屏東市,寶寶123,我覺得做這些形式上的根本沒有用，只是浪費時間罷了。這些做完，還是什麼都不會，也沒有任何幫助，不如多花點時間去追求自己想做的事比較實在!!
No.20,2018-01-25 22:17:42,苗栗縣,苗栗市,阿傑,
No.21,2018-01-26 10:29:35,新北市,三重區,Daniel,
No.22,2018-02-04 01:54:19,臺北市,文山區,李先生,廢除不必要開銷
No.23,2018-02-05 08:41:00,臺北市,南港區,tt,
No.24,2018-02-17 14:50:44,苗栗縣,竹南鎮,"LADAKHSTONE ",

