"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-27 00:07:10,花蓮縣,花蓮市,阿霖,
No.2,2017-10-27 11:18:19,桃園市,中壢區,david liu,
No.3,2017-10-27 13:47:03,新北市,泰山區,Terence Chen,
No.4,2017-10-27 14:53:14,臺北市,松山區,AK,
No.5,2017-10-27 21:05:10,臺北市,內湖區,Ciao,
No.6,2017-10-27 22:16:58,新北市,蘆洲區,落花生,"就是一定要嚴格取締！
而且車道再減少，增加綠化藝術裝置，增設自行車專用道，人行道再拓寬，車位再縮少，停車費每小時100元起跳，讓駕駛覺得駕車非常非常的不便與昂貴！
自然會轉向利用大眾運輸工具！"
No.7,2017-10-27 22:47:31,臺北市,北投區,LIN ROBERT,
No.8,2017-10-27 22:57:46,新北市,板橋區,阿豪,
No.9,2017-10-28 11:22:05,桃園市,中壢區,澎澎MAN,建議賦予民間停車收費人員開立違規停車的權力，以目前民間停車收費人員高效率的開立停車單之能力，一定可以大大嚇阻違停的車輛，因為他們巡邏頻率超高，效率超好，給予他們開單的少數回饋是很合理的。
No.10,2017-10-28 18:00:24,屏東縣,新埤鄉,koko,
