"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-29 00:42:22,臺中市,清水區,阿發,
No.2,2017-11-29 08:18:33,高雄市,楠梓區,ejun,
No.3,2017-11-29 08:19:31,高雄市,鳳山區,大個子,
No.4,2017-11-29 08:20:52,高雄市,大寮區,吳小憲,
No.5,2017-11-29 08:24:40,高雄市,前鎮區,CTCIer,符合政府目前推行環保能源的概念
No.6,2017-11-29 08:48:47,高雄市,鳳山區,jutell,
No.7,2017-11-29 09:12:58,臺北市,大同區,Nelson Chiang,
No.8,2017-11-29 09:20:33,新北市,中和區,anty,
No.9,2017-11-29 09:25:18,新竹縣,新豐鄉,"Chocoboy ",
No.10,2017-11-29 09:37:08,高雄市,鳳山區,Rong Rong Zhao,
No.11,2017-11-29 10:09:23,高雄市,橋頭區,水餃,
No.12,2017-11-29 10:18:20,彰化縣,彰化市,黃核統,
No.13,2017-11-29 12:13:30,高雄市,楠梓區,穆德,
No.14,2017-11-29 12:50:31,臺南市,仁德區,小杜,
No.15,2017-11-29 13:14:35,新竹市,東區,日立ㄧ哥,"非常好的idea..一方面可以解決農地沒在使用⋯
一方面又可參與綠能發電⋯"
No.16,2017-11-29 15:36:36,高雄市,仁武區,來來,
No.17,2017-11-29 17:08:24,臺南市,新營區,蔡佳佳,
No.18,2017-11-29 19:45:06,高雄市,鳳山區,甜心小軟糖,
No.19,2017-11-29 19:52:45,高雄市,三民區,李公子,
No.20,2017-11-30 00:14:24,高雄市,岡山區,文文,
No.21,2017-11-30 08:47:56,臺南市,東區,Ya,
No.22,2017-11-30 14:59:27,臺中市,大甲區,落雨聲,
No.23,2017-11-30 16:00:25,臺中市,大里區,Sean,
No.24,2017-12-01 23:25:20,彰化縣,溪湖鎮,Bon,
No.25,2017-12-02 07:21:47,臺北市,北投區,LIN ROBERT,
No.26,2017-12-02 21:14:27,臺北市,信義區,Keser,
No.27,2017-12-06 14:54:40,臺中市,清水區,阿駿,
No.28,2018-01-07 00:32:15,彰化縣,二林鎮,Husker,
No.29,2018-01-07 19:31:59,新北市,三重區,Vagabond,
No.30,2018-01-08 13:48:49,臺北市,內湖區,James,

