"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-03-15 08:53:02,桃園市,龜山區,wei hong Hong,
No.2,2017-03-15 09:00:54,臺中市,沙鹿區,MLLee,
No.3,2017-03-15 11:07:16,桃園市,龜山區,澎澎哥,應再加入強制治療的條件才得假釋
No.4,2017-03-15 22:59:25,臺北市,信義區,Yun Hui Chen,
No.5,2017-03-15 23:23:25,高雄市,三民區,Romola Chen,
No.6,2017-03-15 23:23:40,新北市,中和區,子日青,性侵犯總是被輕判，這是對人權，對女性平權，對人民安全的不重視。司法的公正性在退步。
No.7,2017-03-16 08:22:09,高雄市,左營區,duval ting,
No.8,2017-03-16 08:59:08,新北市,板橋區,小那,如果這些性侵犯假釋門檻跟一般的犯人一樣，被放出來的話可能會又再繼續性侵反而更對他們沒有效果
No.9,2017-03-16 12:05:04,花蓮縣,花蓮市,蔡太太,
No.10,2017-03-16 13:38:39,臺南市,安平區,Dennis Wang,
No.11,2017-03-16 13:50:05,桃園市,新屋區,姜,
No.12,2017-03-17 12:44:39,高雄市,小港區,笨狗,
No.13,2017-03-17 14:39:54,新竹縣,竹北市,雙木先生,
No.14,2017-03-17 14:41:36,新北市,板橋區,了. 看透,我覺得如果性侵犯都幾個月就出來或是假釋或很快或交保的話，那女生的安危和風險就提高了，而且如果再次來找那個女生或找他算帳的話，可能會找不到人或逃出法律。
No.15,2017-03-17 14:46:46,新北市,板橋區,chien,"我認為會性侵女性的人,就不可能只性侵一次女性,如果讓性侵犯輕輕鬆鬆交保放出來,那麼一定過不久又會有另一個女性受害,真的要為了女性們的安全著想,應該要提高釋放的門檻,讓全體女性放心地過日子。"
No.16,2017-03-18 01:03:12,高雄市,六龜區,李豐名,病態行為需要點時間真正治療後再評估假釋
No.17,2017-03-19 18:28:23,臺北市,內湖區,小翔,
No.18,2017-03-19 21:00:28,桃園市,大園區,LIAO,
No.19,2017-03-20 13:10:39,新北市,板橋區,Chen,
No.20,2017-03-21 21:36:48,高雄市,鼓山區,Mayia&Miru,符合社會資源與民意需求
No.21,2017-03-22 21:19:25,新竹市,香山區,阿政,
No.22,2017-03-23 10:46:22,新竹縣,關西鎮,pang yen,
No.23,2017-03-23 15:52:34,屏東縣,內埔鄉,小佑,讚讚讚
No.24,2017-03-23 19:45:34,臺中市,西區,有為,
No.25,2017-03-24 10:48:05,新北市,五股區,yuan,贊成
No.26,2017-03-24 13:50:42,新北市,板橋區,痛恨性侵,我覺得近期看到新聞常有性侵犯假釋又再犯之消息，強烈建議把罰則提高，讓我們一起拒絕性侵讓那些可惡的人受到真正的制裁，保障我們人民的權益!!!!!!
No.27,2017-03-24 14:08:09,新北市,永和區,愛釣魚,
No.28,2017-03-25 14:42:52,新北市,泰山區,莞荳,
No.29,2017-03-25 19:45:55,新北市,板橋區,Fish,附議
No.30,2017-03-26 00:10:02,桃園市,龍潭區,Ru,
No.31,2017-03-26 00:27:56,新北市,板橋區,q,
No.32,2017-03-26 04:42:04,桃園市,龜山區,Name,
No.33,2017-03-26 12:00:25,高雄市,三民區,stupid,性侵犯被輕放，再犯的機率很高
No.34,2017-03-26 12:29:52,高雄市,三民區,Lee,
No.35,2017-03-26 22:18:44,臺北市,南港區,Briam,性侵犯會對社會造成許多的危害，許多性侵犯被抓去關之後才不到5年就假釋，實在是很不應該，應該要提高性侵犯的假釋門檻，甚至是禁止假釋，尤其是性侵未成年少女的罪犯，更應該要加重刑責
No.36,2017-03-27 01:09:24,高雄市,楠梓區,闇影,
No.37,2017-03-27 10:33:11,新北市,泰山區,000,
No.38,2017-03-28 13:59:19,新北市,樹林區,性侵犯應該剁老二,性侵犯馮滬祥出來面對
No.39,2017-03-29 16:40:06,臺中市,大里區,游董,
No.40,2017-03-30 19:42:11,桃園市,大溪區,人民,直接切掉吧
No.41,2017-03-31 20:43:18,臺南市,七股區,陳正勝,
No.42,2017-04-01 16:58:52,臺北市,南港區,ㄌㄌ,
No.43,2017-04-01 22:56:23,新北市,新莊區,阿翔,須重罰性侵犯
No.44,2017-04-02 03:31:24,臺中市,南區,恐龍妹之吻,
No.45,2017-04-02 18:22:03,臺南市,永康區,Xin,
No.46,2017-04-03 16:49:22,新北市,中和區,gjh4028,
No.47,2017-04-06 21:29:52,新北市,五股區,Roger,
No.48,2017-04-06 22:06:56,臺中市,大雅區,"Angelique ",台灣性侵犯再犯率太高了，而再犯者通常再犯下重大案件事件層出不窮。
No.49,2017-04-09 16:59:21,高雄市,仁武區,HOH,
No.50,2017-04-10 20:32:35,宜蘭縣,蘇澳鎮,sean,"台灣法律存在非常大的瑕疵,也因為是人訂出來所致
今天為了彌補其中之一的瑕疵,我認為此對策不錯
台灣司法必須革新,保持公平正義的精神去保護善良的國家人民,並嚴厲懲罰裝瘋賣傻的無賴!"
No.51,2017-04-11 15:18:16,新北市,板橋區,Wen,
No.52,2017-04-12 18:51:32,臺中市,南區,林,
No.53,2017-04-15 13:22:42,臺中市,西區,Charles Lee,
No.54,2017-04-16 01:50:03,臺北市,內湖區,SYT,
No.55,2017-04-17 21:19:08,臺南市,東山區,路人,
No.56,2017-04-18 19:14:07,彰化縣,埔鹽鄉,A,
No.57,2017-04-18 22:17:15,彰化縣,埔鹽鄉,江育宏,我附議
No.58,2017-04-25 21:30:44,臺中市,后里區,Tom,
No.59,2017-04-25 23:18:19,高雄市,仁武區,影舞葉,應當提高到幾乎不能釋放及假釋的門檻，因為再犯的機率就跟在吸毒一樣高，且受害者都有不敢報警的傾向及心理創傷，更會助長性侵犯的犯罪舉動。
No.60,2017-04-25 23:24:58,臺中市,北區,Andy,
No.61,2017-04-26 01:25:16,新北市,中和區,hatori,
No.62,2017-04-26 22:41:13,新北市,新莊區,Yison,
No.63,2017-04-28 19:38:16,苗栗縣,苗栗市,Lucy,
No.64,2017-04-28 20:27:59,新北市,三重區,perlita,
No.65,2017-04-29 21:33:45,高雄市,三民區," 不知道",
No.66,2017-04-30 15:31:20,臺北市,文山區,小熊貓,
No.67,2017-05-01 21:08:29,新竹縣,新豐鄉,Mr.S,"假釋犯應該先進入假釋生活區住上一陣子,表現良好才能回到社會.  也請支持""宅版錢瞻計畫"",""調整行政區有效整合區域資源"",""建立立體交通網徹底解決交通問題"",""取消台灣本島長途電話費"",""教育改革應從建立大數據庫&學分制度著手"",""禁止商業繁殖貓狗"",""央行應該建立外匯交易結算系統, 將買賣申報數據化"",""建議政府發行特別股與民眾交換公共設施保留地"""
No.68,2017-05-03 14:36:06,臺中市,東區,Dim,性侵犯應要「無法假釋」！
No.69,2017-05-05 14:50:57,臺中市,梧棲區,Catherine,
No.70,2017-05-10 10:55:05,雲林縣,莿桐鄉,May,
