"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-18 00:02:46,高雄市,仁武區,肉包媽,監視系統無死角，並且要能線上直播，更希望能提高教師薪水。
No.2,2018-03-18 00:16:25,桃園市,八德區,藍玥,
No.3,2018-03-18 00:19:02,新北市,新店區,曾亭茵,支持強制幼兒園設立攝影機！杜絕虐嬰
No.4,2018-03-18 00:23:35,新北市,新店區,吳小湘,
No.5,2018-03-18 00:26:52,新北市,板橋區,小貝,
No.6,2018-03-18 00:28:08,高雄市,三民區,高雄妹,
No.7,2018-03-18 00:36:15,桃園市,八德區,絕-艾斐爾,希望 政府能重視孩子的未來 注視嬰幼兒的安全 不要再讓孩子們 陷入上學還是不安全的狀況
No.8,2018-03-18 00:38:11,新北市,汐止區,eva,請重視幼兒安全。
No.9,2018-03-18 00:38:17,新北市,汐止區,我孩子在汐止成長 - 幼兒園的故事,"支持立法保障幼童安全！托嬰中心、幼兒園強制安裝監視器！支持修法嚴懲不肖幼兒園、不適任老師、教保員，對於不當管教行為、虐童一律公開資訊！

需要有第三方監督教育局，不能讓教育局隻手遮天，申訴通報應整合教育局、社會局、檢察機關單一窗口，杜絕再有類似情況傷害幼童！"
No.10,2018-03-18 01:06:28,基隆市,安樂區,"Bonnie ",兒少權益不顧，國之將亡
No.11,2018-03-18 01:09:00,新北市,汐止區,Steven Chang,支持立法保障幼童安全！托嬰中心、幼兒園強制安裝監視器！
No.12,2018-03-18 01:13:03,臺北市,內湖區,吳薇恩,支持立法保障幼童權益，托嬰中心、幼兒園強制安裝監視器！
No.13,2018-03-18 01:22:02,臺中市,潭子區,玉,請支持立法強制托嬰中心及幼稚園等設立線上監視系統！好好的保護我們的孩子吧！
No.14,2018-03-18 01:24:04,新北市,汐止區,Coco,
No.15,2018-03-18 01:28:18,桃園市,桃園區,"Samantha ",裝電眼是讓家長可以安心，如果園方很盡心盡力照顧小孩，就不會怕裝上監視器，一方面也讓父母可安心上班
No.16,2018-03-18 01:34:09,新北市,五股區,EmmaChen,有監視 發生問題能盡早察覺
No.17,2018-03-18 01:42:10,高雄市,三民區,Lillian,幼小的孩子不容易表達，有監視器的輔助，比較容易了解當時的情況！
No.18,2018-03-18 02:01:07,臺中市,北屯區,莉莉,
No.19,2018-03-18 02:23:04,桃園市,中壢區,Diana,雖然與個人私隱、肖像權抵觸，但是，相關時間頻傳，已成公共安全問題，希望能得到正面回應
No.20,2018-03-18 02:34:36,臺北市,文山區,艾琳小姐,
No.21,2018-03-18 02:39:53,臺北市,文山區,昆,
No.22,2018-03-18 03:45:49,臺中市,太平區,LaLa,

