"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-07 07:44:22,新北市,鶯歌區," vivi",台灣人真的太愛喝啤酒了，光想到每年製造這麼多這麼多的空瓶子卻無法回收，的確已經造成台灣非常嚴重的***污染問題，廠商既然是利益最大者，他就有責任來負責回收這些空瓶子，希能立法通過，拯救台灣。
No.2,2017-09-07 09:33:30,高雄市,左營區,Lin,減污愛地球，請各位大大附議唷！
No.3,2017-09-07 11:19:00,高雄市,左營區,uam,
No.4,2017-09-07 11:42:26,臺南市,北區,"Blanc ",
No.5,2017-09-07 17:27:04,新竹市,東區,Kar,
No.6,2017-09-08 13:01:44,南投縣,南投市,黃,"早該這樣做! 不只空瓶,應延伸至其它產業.自己賣出的容器都應""無汙染""回收. 方式皆可討論!"
No.7,2017-09-08 23:05:00,臺北市,北投區,LIN ROBERT,
No.8,2017-09-08 23:34:09,臺中市,南屯區,Jian,
No.9,2017-09-10 12:41:36,新北市,中和區,yuanzero,
No.10,2017-09-11 21:19:12,臺中市,沙鹿區,阿明,
No.11,2017-09-28 13:07:56,新北市,永和區,闇之翎,希望製造廠商都具備回收或再造能力
No.12,2017-09-30 21:49:47,彰化縣,福興鄉,宸睿,
