"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-18 09:17:54,金門縣,金湖鎮,Hsueh,
No.2,2017-11-18 12:08:34,臺中市,烏日區,天地重勁破,
No.3,2017-11-18 12:47:40,新北市,新莊區,joan,
No.4,2017-11-18 17:26:20,臺中市,南屯區,蛋黃酥,
No.5,2017-11-18 18:29:10,嘉義市,東區,蘇羽霏,
No.6,2017-11-18 18:55:14,臺北市,中正區,angelsky_777,
No.7,2017-11-18 19:26:31,新北市,新莊區,erica,贊成
No.8,2017-11-19 00:09:36,桃園市,蘆竹區,台灣洪精飽,
No.9,2017-11-19 01:50:00,臺北市,中山區,@@,統一收費方式標準
No.10,2017-11-19 06:37:00,臺中市,北屯區,馬卡巴海,
No.11,2017-11-19 11:42:38,臺中市,南區,Anyta,贊成
No.12,2017-11-19 12:09:47,臺中市,北屯區,Barry,
No.13,2017-11-19 14:19:43,新北市,三重區,楊志嘉,這樣只可以防止沒有刷到及動線不一造成上下車花費過多時間
No.14,2017-11-19 16:43:12,澎湖縣,馬公市,圓仔花,
No.15,2017-11-19 17:21:02,彰化縣,和美鎮,yuchi,
No.16,2017-11-19 17:34:41,桃園市,桃園區,Ra Yao,
No.17,2017-11-19 18:50:22,臺北市,北投區,LIN ROBERT,
No.18,2017-11-19 22:14:27,臺中市,大里區,Zero,
No.19,2017-11-19 22:42:10,臺北市,大同區,里歐王者,"統一上下車的話大家也比較好提前準備好悠遊卡,看是要一上車就刷還是下車要不然某些上車刷某些下車刷,上車刷的話有時卡還沒拿好車就開始動了對乘客也很危險~"
No.20,2017-11-20 00:55:59,新北市,中和區,GuanTing,
No.21,2017-11-20 10:44:40,臺北市,松山區,Jimmy,
No.22,2017-11-20 10:55:14,新北市,林口區,james27,上下車都須刷卡同捷運一般即可!
No.23,2017-11-20 14:16:31,高雄市,鳳山區,B,
No.24,2017-11-20 14:37:54,桃園市,八德區,Jason,
No.25,2017-11-20 17:07:31,臺北市,內湖區,marcocolo,
No.26,2017-11-21 00:23:52,臺中市,中區,Homura Akemi,
No.27,2017-11-21 15:29:58,新竹市,香山區,兒兒兒,
No.28,2017-11-21 15:32:33,新北市,中和區,alice,
No.29,2017-11-23 15:02:40,臺南市,新營區,順風,
No.30,2017-11-23 15:14:56,桃園市,中壢區,彤,統一刷卡方式較方便
No.31,2017-11-23 15:41:30,臺北市,中正區,WC,
No.32,2017-11-24 22:10:50,臺南市,歸仁區,"Peggie Chen ",
No.33,2017-11-25 15:22:49,臺北市,信義區,angelsky777,
No.34,2017-11-26 20:50:28,臺中市,西區,甩甩,
No.35,2017-11-27 23:12:21,桃園市,桃園區,William,
No.36,2017-11-27 23:56:28,南投縣,南投市,小牛,
No.37,2017-11-28 13:27:42,新竹縣,竹北市,Tracy,支持!!希望公車都能有一致的刷卡方式
No.38,2017-11-28 21:34:57,臺中市,豐原區,謝拉,支持統一作法，省事輕鬆
No.39,2017-12-05 21:01:47,高雄市,鼓山區,皮賴,支持！不然司機很麻煩的！
No.40,2017-12-05 21:22:49,高雄市,岡山區,阿賢,贊成
No.41,2017-12-08 10:32:00,高雄市,左營區,shoen,
No.42,2017-12-11 17:35:31,新北市,新店區,may ray,
No.43,2017-12-15 21:10:26,臺南市,南區,sctaoknee,
No.44,2018-01-12 02:12:32,高雄市,楠梓區,zephoenixro,
No.45,2018-01-13 09:10:26,臺中市,潭子區,Hank,

