"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-06 13:44:33,桃園市,中壢區,珍妮,
No.2,2017-04-06 19:43:59,臺中市,大肚區,帥帥,現在連我自己在學開車我也覺得學取線進退是沒有用的在真實道路上根本不會用到，所以希望可以廢除取線進退這個考試項目
No.3,2017-04-07 10:18:27,桃園市,龍潭區,周易,
No.4,2017-04-07 11:11:51,桃園市,平鎮區,小慧,考試增加項目要漲價，減少冗項就可以少漲一點吧！
No.5,2017-04-08 00:07:48,桃園市,中壢區,小劉,
No.6,2017-04-08 00:08:06,桃園市,八德區,Sophie,
No.7,2017-04-08 00:37:21,桃園市,大溪區,WILL,
No.8,2017-04-08 14:25:04,桃園市,平鎮區,小芙,
No.9,2017-04-14 10:32:16,新北市,板橋區,eason,
No.10,2017-04-15 12:35:41,臺北市,大安區,康至青,
No.11,2017-04-30 12:08:30,雲林縣,東勢鄉,我只是路過,
No.12,2017-05-15 17:40:15,新竹縣,竹北市,Greentime,認同
