"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-11 01:46:00,臺北市,信義區,"Angela ",
No.2,2018-01-11 03:14:29,桃園市,中壢區,tzumei,希望每個人都能為環保救地球而努力，加油！
No.3,2018-01-11 05:53:44,臺北市,松山區,Sabrina,
No.4,2018-01-11 06:49:36,臺北市,士林區,Alex,好
No.5,2018-01-11 07:35:49,新北市,汐止區,WHuang,
No.6,2018-01-11 07:52:04,新北市,瑞芳區,皮皮,
No.7,2018-01-11 08:04:57,臺中市,南屯區,"Gallant ",
No.8,2018-01-11 08:26:06,新北市,新莊區,Mira,
No.9,2018-01-11 08:43:49,臺北市,內湖區,Emeline,
No.10,2018-01-11 09:20:16,花蓮縣,吉安鄉,nana,
No.11,2018-01-11 10:46:23,臺北市,大安區,Cathy,附議
No.12,2018-01-11 10:50:47,新北市,中和區,"Joanna ",
No.13,2018-01-11 11:42:53,桃園市,中壢區,樺樹,
No.14,2018-01-11 12:26:05,臺南市,永康區,姜國才,
No.15,2018-01-11 12:50:45,基隆市,七堵區,Ethan,Agree!
No.16,2018-01-11 13:27:50,臺北市,中正區,JT,救救台灣 救救地球
No.17,2018-01-11 14:23:43,新竹縣,竹北市,Cynthia Tsui,
No.18,2018-01-11 18:44:12,臺北市,大安區,山羊,
No.19,2018-01-11 20:42:17,新北市,土城區,KUN,
No.20,2018-01-11 22:29:10,高雄市,湖內區,影皮,
No.21,2018-01-11 22:37:34,新北市,三重區,Sunny,支持環保，支持努力讓台灣更好！
No.22,2018-01-11 22:44:13,臺北市,信義區,SunnyWalker,每天製造太多垃圾了
No.23,2018-01-11 22:51:33,新北市,汐止區,Goldie,
No.24,2018-01-11 23:03:18,臺北市,士林區,Jackie,
No.25,2018-01-11 23:55:20,新北市,汐止區,Doris,
No.26,2018-01-12 00:00:03,臺中市,北屯區,熊叔叔,
No.27,2018-01-12 09:02:55,臺北市,士林區,顏嘉亨,支持
No.28,2018-01-12 09:03:27,臺北市,萬華區,J J Chang,"集結大家的力量,會是個改變的開始
多年前實施塑膠袋加價購,成功讓消費者攜帶環保袋,並且重複使用
相信,紙杯加價購,也會讓台灣垃圾變得更少,讓大家養成攜帶環保杯習慣"
No.29,2018-01-12 09:19:23,臺北市,文山區,兔子先生,
No.30,2018-01-12 09:21:42,基隆市,安樂區,Flying Birdy,"支持本案,我們人類所做的,就是應該開始思考為環境盡一份心力,並減少垃圾量,我們都要喝水,可以選擇自己的水杯與壺,紙杯非必要存在在我們生活中~~~"
No.31,2018-01-12 09:53:28,臺北市,中正區,David Wang,環保意識仍需大家努力及支持！
No.32,2018-01-12 10:02:17,臺北市,信義區,JL,大家努力舉手之勞做環保
No.33,2018-01-12 11:02:16,新北市,汐止區,Vicky Lu,"地球只有一個, 減少垃圾收集與水資源的浪費, 是大家都要學習與支持的."
No.34,2018-01-12 11:39:59,南投縣,草屯鎮,MJ,
