"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-03-30 19:01:45,基隆市,安樂區,wei hong hong,
No.2,2017-03-31 09:22:48,臺北市,大安區,Jacob Mei,
No.3,2017-03-31 09:38:09,臺中市,西區,豪豪,
No.4,2017-03-31 09:46:55,臺南市,官田區,厭世貓貓貓貓,
No.5,2017-03-31 09:54:49,新北市,中和區,Alice,
No.6,2017-03-31 10:12:27,臺北市,南港區,Mitch,"台灣長年以IT大國自居，數位經濟卻遠遠落後其他國家，期望透過這樣的法案規範、框架並扶植數位經濟、金融科技、第三方支付平台能夠""合法""的在台灣自由競爭，最終得利的會是政府、人民、企業三贏局面。

惟期許本法不僅解決現有數位金融問題，更能以前瞻、大膽、開放、創新的視野訂定之，讓我能一舉成為數位經濟的法規領先者，解決內外資擔憂的政治、投資環境風險，增進企業在境內投資，進而創到工作機會與薪資、GDP成長。

身為中華民國國民，期許台灣能擺脫內鬥，大家共同創到美好的生活環境，才能大大方方地說：身為台灣人我很驕傲！"
No.7,2017-03-31 11:04:41,彰化縣,社頭鄉,Jack,"我認為數位經濟是未來的趨勢,面對大的浪潮,希望我們能跟著它向前走而不是在同一個位置上下浮動。"
No.8,2017-03-31 11:18:39,臺北市,中正區,Jan Yeh,"希望本法可以盡快上路，為瞬息萬變的數位經濟提供法規上的依據...
不要讓新創落入傳統法規的灰色地帶，還沒出生就夭折~"
No.9,2017-03-31 11:32:34,新北市,永和區,孟德銘,草案內容或可供檔案下載查閱。
No.10,2017-03-31 11:45:14,臺北市,信義區,Susan,"配合國際潮流,符合民眾需要."
No.11,2017-03-31 12:18:55,臺中市,西區,Steve,感謝委員提案，期望藉由此法讓台灣不僅是科技大國，更有朝一日成為數位大國。
No.12,2017-03-31 12:32:40,高雄市,鼓山區,Kacy,台灣的數位經濟早就落後國際社會一大截了，非常開心能有這個方案作為踏入新興經濟的第一步。現在的平台五花八門，包括旅遊。關於旅遊做為特許行業，相關平台產業也備受限制，期待能早日解除這個已經不合時宜的限制，開放競爭不再只讓旅行社獨佔，一起讓觀光產業藉由電子商務平台在台灣更加發達，賺全世界的錢。
No.13,2017-03-31 18:39:38,新竹縣,竹北市,"Jeffrey ",
No.14,2017-03-31 21:48:45,新竹縣,竹北市,Brian Yang,
No.15,2017-04-01 07:54:18,臺北市,內湖區,Kevin Lee,支持！加油！
No.16,2017-04-01 08:34:40,新北市,三重區,Frank Lu,
No.17,2017-04-01 09:04:16,彰化縣,彰化市,Max,
No.18,2017-04-01 10:00:50,臺北市,萬華區,Takeshi,
No.19,2017-04-01 14:36:26,臺北市,北投區,Innovation,
No.20,2017-04-04 14:11:49,臺北市,大安區,康至青,
No.21,2017-04-05 00:36:40,臺北市,大安區,Vincent,
No.22,2017-04-05 00:47:54,新北市,新莊區,David.C,數位經濟法對台灣未來是很重要一部份，台灣是科技大島但已經落後許多。所以徐立委的法規一定送進立法院通過，讓台灣的數位可以更進步變更好！
No.23,2017-04-05 17:16:31,新竹市,東區,Yi Lun Chen,
No.24,2017-04-05 18:50:16,高雄市,阿蓮區,Gas,
No.25,2017-04-05 20:40:00,高雄市,三民區,JAEERKU,
No.26,2017-04-05 22:07:52,新北市,泰山區,Duke,
No.27,2017-04-05 23:40:45,臺北市,北投區,"JasonWu ",
No.28,2017-04-05 23:43:07,新北市,中和區,mediafox,
No.29,2017-04-06 07:54:17,新北市,板橋區,Hanson,
No.30,2017-04-06 09:51:56,臺北市,中山區,Elvis,
No.31,2017-04-06 22:27:26,臺南市,東區,Wang,支持! 新創經濟、共享時代已經來臨，我們必須要迎頭趕上!
No.32,2017-04-07 00:21:33,新北市,新店區,有恆,台灣在數位時代已經落後太多了，需要打通法律障礙！
No.33,2017-04-07 09:18:09,新北市,汐止區,D.C.,
No.34,2017-04-07 14:08:14,新竹市,東區,Fewa110010,附議～！
No.35,2017-04-07 15:51:34,臺北市,大安區,yoyo,
No.36,2017-04-07 20:47:33,桃園市,桃園區,Lucky Nestor,"網路已經是現在進行式；若能給予適當安於民生的提案～
對未來是很有幫助的。"
No.37,2017-04-08 19:05:14,新北市,新店區,芸,
No.38,2017-04-08 23:07:30,金門縣,金寧鄉,閎,
No.39,2017-04-09 10:31:17,基隆市,安樂區,Paul Tuan,
No.40,2017-04-09 13:19:20,臺北市,萬華區,achia,
No.41,2017-04-17 14:37:50,臺中市,大里區,小嚴,
