"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-27 02:59:05,臺北市,松山區,音,
No.2,2017-06-27 22:47:37,新竹市,香山區,芽米,"佔空間
又一堆正意魔人==
椅子就椅子啊
會讓位就是會讓位不讓的打死不讓啊
簡單的定義，一個人不讓位就鬧到上新聞
記者沒東西可以報了嗎？
一個椅子而已何必吵吵吵的
***嘛不自己帶折疊椅？？？"
No.3,2017-06-28 01:17:06,南投縣,埔里鎮,奉先,
No.4,2017-06-28 10:32:00,屏東縣,屏東市,黑翼,"有時候都會看到 車廂內很多人站著 
博愛座就空在那邊 沒人敢座
竟然這樣 不如廢除掉吧"
No.5,2017-06-28 11:19:17,基隆市,中山區,jameslu,博愛座是否能廢除 因為需要的人會使用被歧視
No.6,2017-06-28 11:40:13,臺中市,梧棲區,軒,
No.7,2017-06-28 12:38:05,彰化縣,埔心鄉,默默,"支持廢除
減少空座位及不必要的爭執
有需要的人自行開口
我相信被請求是否能讓座的人
只要沒有身體不適 不方便
大多都會讓座的"
No.8,2017-06-28 13:38:04,新北市,板橋區,qwer789963,雖然說之前已經有類似提案出現，但請政府相關部門認真看待這件事情，不要讓位子淪為某些正義魔人跟只會倚老賣老的人無限上綱了。
No.9,2017-06-28 14:04:12,臺中市,神岡區,Ventis,
No.10,2017-06-28 15:46:57,臺南市,北區,JusticE,"博愛座該廢除了
只要有心，每個座位都是博愛座~"
No.11,2017-06-28 16:05:08,新北市,新店區,JoeHCC,每個位置都是博愛座，不需要特意標示徒增負擔，若是覺得一般民眾水準太低，看到有需要的人都不讓位，一定要設計博愛座，我個人認為是瞧不起台灣人的水準。
No.12,2017-06-28 16:44:39,雲林縣,虎尾鎮,菇,
No.13,2017-06-28 17:29:22,臺中市,西區,Anny,
