"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-03-14 10:28:00,新竹縣,竹東鎮,wei hong Hong,
No.2,2017-03-15 09:05:36,臺中市,沙鹿區,MLLee,
No.3,2017-03-15 18:37:21,臺北市,士林區,s26 chen,我國企業有賺錢卻不願意照顧員工!
No.4,2017-03-16 02:02:56,新北市,永和區,Feefee Nia,
No.5,2017-03-22 09:44:55,新北市,三重區,Alexander Luthor,
No.6,2017-03-25 23:22:33,臺北市,文山區,路人乙,一例一休就現階段看來，面向不夠廣，無法兼顧個行業的求，若統一施行於全台，將會造成巨大人事問題。
No.7,2017-04-04 14:39:21,臺北市,大安區,康至青,
No.8,2017-04-06 21:43:33,新北市,五股區,Roger,
No.9,2017-04-29 21:33:39,高雄市,三民區," 不知道",
No.10,2017-05-01 04:33:40,新北市,新莊區,秀,
