"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-08 00:13:24,臺南市,永康區,小興,
No.2,2017-10-09 07:30:15,臺東縣,臺東市,有為,並不是只有招生，應該了解警察退休問題，設法延緩退休速度，提高誘因，以留住人力。
No.3,2017-10-09 10:59:28,臺南市,柳營區,QOQ,
No.4,2017-10-11 09:12:14,新北市,八里區,C.Y,
No.5,2017-10-12 12:42:28,臺北市,文山區,麥小米,
No.6,2017-10-15 20:32:18,高雄市,岡山區,阿賢,贊成
No.7,2017-10-18 17:46:56,臺南市,東區,台西郎,
No.8,2017-10-18 22:10:02,新北市,瑞芳區,小男,
No.9,2017-10-19 00:06:48,臺北市,大安區,偉人青,
No.10,2017-10-19 14:55:32,臺中市,北屯區,CASH HO,
No.11,2017-10-19 15:40:37,桃園市,蘆竹區,lun,
No.12,2017-10-19 20:43:11,臺南市,東區,小興,
No.13,2017-10-22 02:17:37,臺中市,中區,Homura Akemi,
No.14,2017-10-22 18:03:44,新北市,淡水區,張杯杯,
No.15,2017-10-23 01:12:57,新北市,三重區,海哥,
No.16,2017-10-23 12:51:31,花蓮縣,吉安鄉,阿哲,
No.17,2017-10-23 21:49:32,屏東縣,萬巒鄉,魯國國相,
No.18,2017-10-25 01:52:48,臺北市,文山區,小王,一名消防員需負擔2000人民的生命，實在過於沉重，實戰經驗和學術理論一樣重要，加上消防員人數只有規定之一半，希望政府能重視不只消防員權益，也能重視人民的生命財產
No.19,2017-10-25 01:55:36,桃園市,平鎮區,76,
No.20,2017-10-25 02:46:34,桃園市,桃園區,小瘦子,
No.21,2017-10-25 03:24:08,臺南市,山上區,筠蓁,建議增加警察替代役、消防替代役轉警察人員特考或由內政部警政署、消防署自行辦理招考。係替代役男在一年的服役經驗參與協勤，對警察、警消工作有相當熟稔度，此方式可提供有志、有興趣之替代役男或役畢者，於通過體能測驗、訓練後，無縫接軌警察、警消工作，實對警察、警消工作適應方面及補足警力缺口有助益。
No.22,2017-10-25 05:54:23,臺北市,松山區,小馬,
No.23,2017-10-25 06:52:25,新北市,新莊區,睿憲,同意，很多義消想進公職總礙於考試，本人就是差1-2分，這個提議我贊成
No.24,2017-10-25 07:13:38,桃園市,龜山區,皮姬,
No.25,2017-10-25 07:27:40,桃園市,中壢區,Shit,長期消防人員人數不足，政府拿出魄力解決問題，不要再用爛藉口敷衍我們
No.26,2017-10-25 07:32:55,臺中市,西屯區,犀牛,
No.27,2017-10-25 07:46:22,連江縣,南竿鄉,霖,
No.28,2017-10-25 07:48:14,臺北市,內湖區,喜德,
No.29,2017-10-25 07:48:17,新北市,蘆洲區,"Daniel ",支持警消進用人員多元化管道，有效補充基層人力
No.30,2017-10-25 07:52:00,新北市,新店區,許耀元,認同
No.31,2017-10-25 08:02:52,高雄市,鳳山區,火哥,
No.32,2017-10-25 08:03:26,新北市,板橋區,沈,支持晉用原單位義消納編，協助警消救災勤務工作，降低失業率，解決人力不足問題
No.33,2017-10-25 08:36:42,新北市,鶯歌區,喜,增加人力
No.34,2017-10-25 08:40:44,新北市,三重區,冰晶雪花,這個想法已經支持很久了，現行考試制度中，這個雙軌制度本來就不甚完備。此外，也時有耳聞分發後因為不適任警消體系的作息的人員離職，對整個考試制度與晉用機關都不好。而對於想從事警消職務的義警、消們，卻沒有額外加分機制來支持理想。建議其實考選部應該可以把警義消的考核給列入加分標準，對於表現優良的警義消(如服勤正常、無不良素行、績優事績)由各直轄市、縣(市)警察機關或消防機關考核後發給績優人員證書，每張證書效期兩年，晉用機關可以依此證書做為一個加分門檻，且對於想從事警義消的工作的民眾能了解警、消工作內容、適應這類工作環境，補足各縣市消防警察人力的不足，這是一個雙贏的方式。
No.35,2017-10-25 08:44:46,高雄市,阿蓮區,小鴿,支持！
No.36,2017-10-25 08:54:42,臺南市,新營區,小張小張,
No.37,2017-10-25 09:31:55,臺南市,麻豆區,Bruce Ke,
No.38,2017-10-25 09:44:46,高雄市,前鎮區,小張,
No.39,2017-10-25 09:53:10,臺南市,歸仁區,娜娜,
No.40,2017-10-25 09:59:44,雲林縣,北港鎮,藏玉老弟,
No.41,2017-10-25 10:11:15,桃園市,平鎮區,Arden,
No.42,2017-10-25 10:36:34,臺南市,安南區,土豆仁,
No.43,2017-10-25 11:46:17,新北市,新店區,士育,"不錯的想法,建議政府高層可以納入考慮,畢竟不是所有的公務人員都適合用筆試決定是否率取,像警察及消防工作是比較注重體能,射擊等體技能方面"
No.44,2017-10-25 11:59:07,臺南市,南區,大朱,現有的消防人力非常不足，業務過於繁忙，或許可以將現有的義消人力編制為己薪人力以補足消防體系中的不足
No.45,2017-10-25 12:24:00,臺北市,文山區,Taku,"支持辛苦的警察
還有美麗的筠蓁"
No.46,2017-10-25 12:31:03,臺中市,西屯區,Peijan,
No.47,2017-10-25 12:44:02,臺北市,大安區,VIVIANTANG,
No.48,2017-10-25 14:28:33,金門縣,金寧鄉,wei,
