"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-30 01:27:04,新北市,板橋區,Sophia,
No.2,2017-12-30 01:32:20,屏東縣,竹田鄉,Alien,
No.3,2017-12-30 13:10:18,臺北市,萬華區,etx,
No.4,2017-12-30 17:48:10,臺北市,信義區,angelsky777,
No.5,2017-12-31 01:39:46,高雄市,鹽埕區,Vincent,
No.6,2018-01-01 11:12:34,桃園市,桃園區,southdog6932,
No.7,2018-01-02 09:07:20,臺北市,大安區,freddie,
No.8,2018-01-02 16:05:15,臺中市,大里區,花,支持修改電信法
No.9,2018-01-03 12:50:19,新北市,五股區,讚讚,
No.10,2018-01-05 20:51:30,南投縣,草屯鎮,獨白,
No.11,2018-01-07 02:21:53,高雄市,前鎮區,墨狐,
No.12,2018-01-07 19:11:26,新北市,三重區,Vagabond,
No.13,2018-01-07 21:34:36,臺北市,中山區,Ethan Lin,
No.14,2018-01-13 00:28:57,臺中市,龍井區,Ching,
No.15,2018-01-15 14:50:34,新北市,新莊區,kizema104,
No.16,2018-01-25 19:29:31,高雄市,楠梓區,威哥,
No.17,2018-02-05 08:45:00,臺北市,南港區,tt,
No.18,2018-02-08 16:25:35,宜蘭縣,宜蘭市,chakini,

