"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-28 08:41:26,新北市,樹林區,Ken,
No.2,2017-12-28 08:44:55,高雄市,鳳山區,阿威,育嬰假應該要帶薪，因為經濟壓力會讓很多年輕人不敢生小孩甚至請育嬰假~
No.3,2017-12-28 08:44:56,新北市,中和區,小史,
No.4,2017-12-28 09:05:55,嘉義縣,大林鎮,臻臻,
No.5,2017-12-28 10:28:58,桃園市,新屋區,莊莘紗,我很贊成
No.6,2017-12-28 10:59:29,臺中市,清水區,阿發,
No.7,2017-12-28 17:48:43,臺北市,士林區,Koshi,
No.8,2017-12-28 21:09:09,桃園市,桃園區,雅婷,
No.9,2017-12-29 05:02:50,桃園市,桃園區,姨姨,
No.10,2017-12-29 11:45:16,高雄市,大寮區,蔡菜,
No.11,2017-12-29 12:24:27,桃園市,桃園區,GILL,
No.12,2017-12-29 13:56:52,桃園市,中壢區,邰灣人,同意
No.13,2017-12-29 14:41:58,高雄市,苓雅區,小美,
No.14,2017-12-31 13:23:51,高雄市,左營區,張,
No.15,2018-01-04 18:34:21,臺北市,文山區,Smile,
No.16,2018-01-06 11:23:13,彰化縣,二林鎮,Husker,
No.17,2018-01-07 15:05:26,高雄市,前金區,hsinwenyu,
No.18,2018-01-07 15:45:22,新北市,三重區,cool,合理～～！！
No.19,2018-01-08 21:40:27,臺南市,安定區,小孩也是國家資源,
No.20,2018-01-11 01:13:40,高雄市,岡山區,阿賢,贊成
No.21,2018-01-24 12:31:12,桃園市,觀音區,123,
No.22,2018-02-02 00:55:24,高雄市,前鎮區,樂,
No.23,2018-02-08 15:38:02,新北市,板橋區,Z,

