"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-02-03 00:05:59,新北市,板橋區,楊小慧,納保法21條第4項是保護稅捐機關，一定要修法
No.2,2018-02-03 00:08:12,臺北市,內湖區,FIONA,立法院請儘快修法
No.3,2018-02-03 00:14:55,新竹市,東區,何立,
No.4,2018-02-03 00:15:07,新竹縣,竹東鎮,yu yu,很認同要有時效，15年太長了。
No.5,2018-02-03 00:16:24,臺北市,中山區,震震,
No.6,2018-02-03 00:17:42,臺北市,士林區,Joe,絕對支持。
No.7,2018-02-03 00:18:10,新北市,新店區,小羅,非常贊同！
No.8,2018-02-03 00:18:34,新北市,新莊區,王真,
No.9,2018-02-03 00:19:52,新北市,中和區,勤行,在勝訴綠這麼低的情形下，既然被撤銷，表示課稅處分未查清楚就發出，所以應該回該原來的核課期間阿
No.10,2018-02-03 00:20:48,新北市,中和區,Maxin,
No.11,2018-02-03 00:21:50,臺北市,內湖區,逸勤,法院裁定撤銷就應接受人民勝訴！符合程序正義
No.12,2018-02-03 00:24:02,臺北市,內湖區,"denck ",
No.13,2018-02-03 00:24:19,桃園市,大園區,Hannah,
No.14,2018-02-03 00:25:17,新北市,中和區,RONG,這是非常好之提案，納保法竟然要施行後，法院撤銷後，再經過十五年才不能核課，且完全不管舊案以前已進行之時間，這種根本沒有保障人權之法律，本來就應該修改！非常支持！
No.15,2018-02-03 00:25:30,臺北市,大安區,小芬,
No.16,2018-02-03 00:25:31,新竹市,北區,Ja,
No.17,2018-02-03 00:25:35,臺北市,內湖區,Reyant,
No.18,2018-02-03 00:26:01,新北市,新莊區,譚尼克,根本玩文字遊戲做做樣子，沒有真心為人民著想！做錯就要認錯
No.19,2018-02-03 00:26:55,新竹市,北區,小甜甜,
No.20,2018-02-03 00:27:26,臺南市,安平區,阿翰,
No.21,2018-02-03 00:27:49,新北市,新莊區,Mimi,
No.22,2018-02-03 00:30:48,臺中市,北屯區,阿傑,現在都電腦化作業，一、兩年查不出的東西，怎可能15年就查的出來。別騙了.....
No.23,2018-02-03 00:31:09,臺北市,信義區,amy,限制核課時效，避免行政權擴大，保障納稅人權
No.24,2018-02-03 00:31:25,臺北市,中正區,Chalala,
No.25,2018-02-03 00:31:25,臺南市,北區,"Albert ",
No.26,2018-02-03 00:31:38,臺南市,南區,小宜,
No.27,2018-02-03 00:32:44,臺北市,中山區,大胖,
No.28,2018-02-03 00:33:05,高雄市,鼓山區,小楊,
No.29,2018-02-03 00:34:21,臺南市,仁德區,玲,
No.30,2018-02-03 00:34:25,桃園市,平鎮區,Arwen,萬年稅單不死，臺灣難進步！
No.31,2018-02-03 00:34:30,臺中市,西區,小林,
No.32,2018-02-03 00:35:37,新北市,新店區,Ting,
No.33,2018-02-03 00:36:10,臺北市,北投區,美美,「刑事妥速審判法」也規定8年內要完成訴訟，「納保法」規定15年，根本無法達到保護納稅人權利的效果，對人民財產權是一大傷害，更將造成企業倒閉或出走，外資不敢來台，阻礙國家整體的經濟發展。
No.34,2018-02-03 00:36:38,高雄市,湖內區,Vernon,不合理的惡法，就要趕快修法
No.35,2018-02-03 00:36:53,臺中市,西屯區,黃老師,支持
