"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-02-15 12:23:08,新北市,新莊區,阿賢,追求法治，符合平等原則
No.2,2018-02-15 13:46:25,高雄市,小港區,林詩芸,期待，若可以說明展示的武器有誰用過以及小故事也許會更棒。順便提醒戰爭會讓多少人犧牲，世界和平。
No.3,2018-02-16 14:59:53,高雄市,岡山區,阿賢,贊成
No.4,2018-02-16 21:41:14,臺北市,文山區,兩號,
No.5,2018-02-17 13:27:51,臺中市,大肚區,...,
No.6,2018-02-17 17:46:00,新北市,中和區,pondar,"此舉可增加國家戰鬥力
並且賺取經費可用於增添武器
亦或是可增進國軍生產力之物品
不過需要注意經費是否有被挪為不必要之用"
No.7,2018-02-19 00:31:35,新北市,板橋區,酷酷,
No.8,2018-02-19 01:59:51,新北市,三重區,playgamenow,
No.9,2018-02-19 09:55:45,嘉義市,東區,深藍,

