"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-05-16 03:15:58,臺中市,龍井區,Jay Lin,"敬請引進機車交通違規記點制, 並增加得以吊銷駕照或刑責的條件作為罰則, 以增進交通安全"
No.2,2017-05-16 10:46:54,花蓮縣,花蓮市,Zeon Zhang,
No.3,2017-05-16 10:50:30,新北市,板橋區,JK,very good
No.4,2017-05-16 18:15:44,臺北市,中山區,AlexC,
No.5,2017-05-16 23:11:59,臺北市,中山區,狗蛋蛋,
No.6,2017-05-16 23:29:14,臺南市,佳里區,monkey_whale,
No.7,2017-05-17 13:59:20,新北市,板橋區,jerryhsu,
No.8,2017-05-17 23:05:56,臺北市,文山區,Gary Chou,
No.9,2017-05-18 12:24:08,新北市,汐止區,Robert,記點數的方式可以讓用路人更珍惜駕照
No.10,2017-05-18 19:43:54,新北市,板橋區,Kevin111123,我同意，尤其是行人過無號誌的穿越道時車輛根本不會讓人，這樣豈不就是等到沒完沒了，斑馬線都是畫假的阿!斑馬線不就是讓行人可以安心過馬路的標示，車子停一下等行人很困難嗎？
No.11,2017-05-18 23:15:02,桃園市,桃園區,little perry,贊成，台灣交通那麼多年過了，還是落後國家，政府無能無所為，導致大家的交通守法觀念幾乎是零。
No.12,2017-05-18 23:49:56,基隆市,安樂區,sdf,
No.13,2017-05-19 00:04:51,桃園市,楊梅區,CY L,
No.14,2017-05-19 01:15:40,桃園市,桃園區,Simon,
No.15,2017-05-19 01:22:46,臺中市,大里區,Lily,
No.16,2017-05-19 03:53:21,臺中市,西區,Charles Lee,
No.17,2017-05-19 04:00:56,臺中市,西區,1010,
No.18,2017-05-19 08:39:01,桃園市,桃園區,徐一文,
No.19,2017-05-19 09:15:21,桃園市,桃園區,王,
No.20,2017-05-19 09:40:53,桃園市,中壢區,魔克,"敬請引進機車交通違規記點制, 並增加得以吊銷駕照或刑責的條件作為罰則, 以增進交通安全"
No.21,2017-05-19 10:03:12,桃園市,桃園區,馬蓋先,
No.22,2017-05-19 11:26:03,桃園市,桃園區,憨吉,
No.23,2017-05-19 11:40:08,桃園市,蘆竹區,Hung,隨時代進步，交通法規須適時更改保障用路人安全。
No.24,2017-05-19 12:22:53,高雄市,三民區,xdole,
No.25,2017-05-19 14:26:01,新北市,汐止區,John,
No.26,2017-05-20 11:31:50,臺中市,潭子區,暄,
No.27,2017-05-20 12:18:30,臺中市,南屯區,mike hsu,
No.28,2017-05-20 18:23:23,彰化縣,北斗鎮,Shane,
No.29,2017-05-22 18:56:25,臺北市,中正區,Kai,
No.30,2017-05-22 20:49:42,新北市,新店區,yao,
No.31,2017-05-23 10:42:59,臺北市,萬華區,dbai,
No.32,2017-05-23 11:52:14,臺北市,士林區,agt,
No.33,2017-05-23 11:53:35,新北市,瑞芳區,鐵頭,"目前交通罰則對於違規者根本無法達到嚇阻效果. 尤其是有錢人根本不怕罰錢
除了加重罰則外應還要去再上交通道德的還有尊重其他用路人的課程"
No.34,2017-05-23 20:58:40,臺中市,大甲區,JAVIS,
No.35,2017-05-23 21:17:08,新北市,新莊區,Miro,交通違規都是以罰金為主，但改善違規效果差。馬路三寶一堆自認小違規沒關系，但造成一大堆嚴重後果，這些小違規用記點方式累積，最後處以吊銷駕照，我認為最有效。
No.36,2017-05-24 03:39:07,臺中市,西區,00,
No.37,2017-05-24 21:18:02,臺中市,西屯區,Mr.Lin,支持，台灣的機車太多了騎士的素質良莠不齊，應建立嚴格的處罰規則來改善台灣的機車亂象
No.38,2017-05-24 23:32:55,高雄市,三民區,HYC,
No.39,2017-05-26 13:37:23,新北市,三重區,masac,
No.40,2017-05-27 18:13:16,高雄市,三民區,Scottie Su,
No.41,2017-05-28 11:25:15,臺北市,萬華區,康至青,
No.42,2017-05-30 11:40:31,新北市,蘆洲區,哈囉笨笨,
