"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-03 05:15:01,臺南市,永康區,Jake,
No.2,2018-05-03 09:32:50,桃園市,八德區,Debbie Hou,
No.3,2018-05-03 10:00:12,嘉義縣,大林鎮,Mark Huang,"希望政府能夠重視人行道之問題,並嚴格取締道路違停的處分,避免人行道變成車子亂停的情形。"
No.4,2018-05-03 10:19:51,花蓮縣,瑞穗鄉,何阿碧,減碳排放
No.5,2018-05-03 16:27:30,臺東縣,大武鄉,skye,可以
No.6,2018-05-03 18:49:16,臺北市,文山區,"Olivia ",
No.7,2018-05-04 03:22:32,桃園市,桃園區,"Eden,lin",
No.8,2018-05-04 12:46:30,新竹市,東區,蟲,
No.9,2018-05-05 11:04:03,臺中市,南屯區,Benson,
No.10,2018-05-07 18:53:13,臺北市,大安區,紀行,"目前台灣許多都會都在推動大眾運輸系統，殊不知，大眾運輸系統最重要的配套之一，就是人行道
搭乘大眾運輸與騎機車最大的不同，就是需要步行，如果沒有舒適的步行空間，在方便的運輸網，大家還是寧願騎機車
因為只要一離開車站，就要面臨不友善的步行環境，誰還願意搭乘公車捷運？"
No.11,2018-05-08 19:38:41,新北市,三重區,playgamenow,
No.12,2018-05-09 01:54:11,新北市,新莊區,呵呵呵,
No.13,2018-05-09 14:40:03,高雄市,鼓山區,Shawn,
No.14,2018-05-27 19:53:44,高雄市,大社區,Jason,支持

