"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-10 00:28:19,新北市,樹林區,館長,
No.2,2018-01-10 02:05:58,臺南市,北區,萬六,
No.3,2018-01-10 08:19:14,新北市,泰山區,霸告,
No.4,2018-01-10 08:50:36,桃園市,中壢區,John Chen,徵人廣告月薪4萬以上，範圍禁「過於籠統」，如 月薪4萬~~15萬 或 月薪無上限，....
No.5,2018-01-10 09:34:02,高雄市,楠梓區,YiLiao,
No.6,2018-01-10 09:40:31,臺北市,信義區,Aaron,
No.7,2018-01-10 11:05:48,臺北市,中正區,Hui,這還需要提嗎?  面議根本不是面議 就是薪水太低不敢打出來 瞎
No.8,2018-01-10 11:38:15,臺中市,中區,Yo,
No.9,2018-01-10 11:48:07,臺中市,豐原區,酥米,
No.10,2018-01-10 11:58:24,臺中市,西區,好,
No.11,2018-01-10 12:46:53,臺中市,中區,xu,
No.12,2018-01-10 12:55:59,桃園市,觀音區,alan,
No.13,2018-01-10 13:18:24,新北市,板橋區,翁比爾,"我支持該項提議
透明化的勞動條件可以減少求職者期待落空及雇主端省時面試

再者，求職者能力若不符職缺要求，雇主其實可以另尋他人或是以(預告)薪資區間方式徵才"
No.14,2018-01-10 13:32:24,高雄市,林園區,Draving,
No.15,2018-01-10 14:16:53,臺南市,東區,莊子,支持公開薪資!! 讓薪資透明化!
No.16,2018-01-10 14:34:40,桃園市,平鎮區,abjade,
No.17,2018-01-10 14:59:52,桃園市,龜山區,nancy,
No.18,2018-01-10 16:30:27,南投縣,竹山鎮,jay,.............
No.19,2018-01-10 16:30:35,臺南市,安南區,Chiuchiu,
No.20,2018-01-10 16:39:17,新北市,板橋區,Mayu,
No.21,2018-01-10 17:05:55,南投縣,水里鄉,支持,
No.22,2018-01-10 18:50:33,臺北市,北投區,"Geh,Diong-Sin",薪資寫面議，根本讓求職者不知道實領多少錢，說不定比2萬2千元還要少，公佈實領薪資，有這麼困難嗎，雇主們!?
No.23,2018-01-10 20:09:05,彰化縣,彰化市,黃核統,
No.24,2018-01-10 20:28:18,新北市,泰山區,Allison,
No.25,2018-01-10 20:36:09,彰化縣,埔心鄉,緯緯,
No.26,2018-01-10 22:08:39,臺北市,文山區,samuelchen159,
No.27,2018-01-10 22:34:30,新北市,新莊區,科科,GOOD
No.28,2018-01-10 22:56:17,臺中市,太平區,Negi,
No.29,2018-01-11 01:48:29,臺北市,信義區,Angela,
No.30,2018-01-11 13:21:35,臺南市,永康區,r774390,
No.31,2018-01-11 13:51:54,臺中市,北屯區,aaron99035,
No.32,2018-01-11 16:47:19,新北市,淡水區,Lucien,
No.33,2018-01-11 18:45:26,臺南市,東區,Aden,
No.34,2018-01-12 09:22:29,新北市,板橋區,兩大類,
No.35,2018-01-12 10:05:03,新北市,新莊區,kyatapi,
No.36,2018-01-12 16:59:47,臺北市,中正區,RUBY,
No.37,2018-01-12 17:22:48,南投縣,草屯鎮,Kay,
No.38,2018-01-12 18:53:04,新北市,板橋區,丸子,確實，面議又與面試官薪資水平有落差，會浪費彼此的時間。
No.39,2018-01-12 22:03:06,新北市,泰山區,Hermes Lin,希望大家一起覆議，竟然勞動部通過了放寬版的勞基法，那資方就該幫勞工加薪了！
No.40,2018-01-12 22:12:43,新北市,新莊區,哇哇哇,
No.41,2018-01-12 22:39:08,新北市,新莊區,Nicole,
No.42,2018-01-12 22:40:47,桃園市,桃園區,貓咪喵,有鑑於現今勞動部已經放寬勞動基準法的相關規範，因此個人覺得倘若徵才廣告禁止寫面議，將有助於臺灣勞動市場的薪資結構向上提升。
No.43,2018-01-12 22:50:02,臺北市,北投區,LIN ROBERT,
No.44,2018-01-12 23:28:58,桃園市,八德區,xtin,
