"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-03 00:20:00,高雄市,小港區,芸,
No.2,2017-10-03 10:57:34,臺北市,大安區,左膠,
No.3,2017-10-03 14:18:20,臺中市,南區,noi,
No.4,2017-10-03 15:57:22,新北市,板橋區,蛙妞,
No.5,2017-10-03 18:17:03,屏東縣,潮州鎮,jean,
No.6,2017-10-04 00:28:11,高雄市,楠梓區,Jiang,
No.7,2017-10-04 00:51:19,宜蘭縣,宜蘭市,滑落,
No.8,2017-10-04 07:54:00,高雄市,鳳山區,shoen,
No.9,2017-10-04 08:37:48,新北市,板橋區,EE,
No.10,2017-10-04 10:09:01,彰化縣,彰化市,黃核統,
No.11,2017-10-04 14:33:11,高雄市,岡山區,柳橙,促進勞動市場透明化與競爭
No.12,2017-10-04 16:39:46,新北市,金山區,落晰,
No.13,2017-10-04 22:35:30,臺北市,大安區,不過如此,
No.14,2017-10-05 02:29:04,彰化縣,和美鎮,閒蛋,除了招募薪水要透明外，並且是要扣除內部規費、勞健保等實質薪資，輪班和包月加給多少，不然現在一堆宣傳有35000~40000月薪，當真的進去發現，宣傳薪水高是要加上輪班加給，並且沒扣內規費和勞健保，真實薪水在東扣西扣後，很多才25000~33000。
No.15,2017-10-05 08:42:59,臺中市,潭子區,阿丸丸,勞資雙方應地位平等，將薪資透明化，避免雙方浪費時間面試。
No.16,2017-10-05 17:57:39,臺北市,大安區,aa,
No.17,2017-10-05 21:09:15,雲林縣,古坑鄉,永西恆,蠻不錯的
No.18,2017-10-08 04:00:57,屏東縣,萬丹鄉,柚235,"自己提供的薪水都信心不足
求職者也會對公司戰戰兢兢"
No.19,2017-10-08 11:50:04,屏東縣,內埔鄉,DX,有更多資訊提供求職者參考，也減少公司另外花時間篩選那些不符合自身能提供薪資水平的人
No.20,2017-10-09 23:58:23,花蓮縣,吉安鄉,支持,非常好的點子不然每個企業都寫面議面議 真正的核心所在就是薪水待遇 繞了一大圈最後 是因為薪水彼此雙方沒有達成共識 浪費了許多時間成本
No.21,2017-10-10 15:44:39,臺中市,南區,Kai,
No.22,2017-10-10 22:06:53,新北市,中和區,小ㄋ,
No.23,2017-10-10 22:28:49,臺北市,萬華區,年,
No.24,2017-10-10 22:40:56,基隆市,信義區,drow0922,
No.25,2017-10-10 23:28:53,新北市,新莊區,Kiki,
No.26,2017-10-11 11:13:12,桃園市,龜山區,Albee,
No.27,2017-10-11 11:44:55,新北市,板橋區,小草,"薪資應該要透明化,很多企業都不公開,到了面試階段才知道其實薪資很低,不符合預期,完全浪費彼此的時間"
No.28,2017-10-11 12:48:24,臺北市,松山區,芮,
No.29,2017-10-11 14:50:39,高雄市,仁武區,gg,
No.30,2017-10-11 22:36:44,臺中市,南屯區,JIAN,
No.31,2017-10-11 22:50:32,嘉義市,東區,q,
No.32,2017-10-11 23:30:19,桃園市,中壢區,安,
No.33,2017-10-12 15:45:52,高雄市,路竹區,菲爾,
No.34,2017-10-12 17:44:45,新北市,三重區,Alan,
No.35,2017-10-12 20:50:47,臺北市,文山區,Cyn,
No.36,2017-10-13 14:44:01,新北市,新莊區,老臣,　
No.37,2017-10-15 11:45:40,新北市,新店區,RU,
No.38,2017-10-15 13:47:19,臺中市,北屯區,Siang,贊成！
No.39,2017-10-16 15:11:00,臺北市,中山區,Anny,
No.40,2017-10-18 12:10:05,臺北市,內湖區,寶尼,
No.41,2017-10-19 11:08:02,臺南市,歸仁區,Kathy,"求職=買賣,價格請標示清楚"
No.42,2017-10-19 12:40:46,新北市,三重區,吳先生,
No.43,2017-10-19 13:08:16,新北市,三重區,無虐,
No.44,2017-10-19 13:48:16,新竹市,香山區,兒兒兒,
No.45,2017-10-19 14:09:35,新北市,板橋區,April,
No.46,2017-10-20 01:08:44,宜蘭縣,羅東鎮,小黃,"我也非常贊成此想法，加油
也請大家互助分享點讚"
No.47,2017-10-20 01:12:03,新北市,中和區,Peter Chen,
No.48,2017-10-20 06:47:37,桃園市,平鎮區,阿享,我要附議+1
No.49,2017-10-20 07:12:27,宜蘭縣,羅東鎮,可可,
No.50,2017-10-20 10:15:25,桃園市,中壢區,楊楊,贊成薪資透明化
No.51,2017-10-20 10:18:25,彰化縣,彰化市,FrankSu,很好
No.52,2017-10-20 12:36:53,臺南市,歸仁區,王瑞揚,越早通過約好，甚至可以的話薪資也能透明化。
No.53,2017-10-20 13:07:40,臺中市,北屯區,aaron99035,贊成薪資公開
No.54,2017-10-20 17:39:55,桃園市,蘆竹區,PY,
No.55,2017-10-20 20:33:07,高雄市,鳳山區,"GUO  ",
No.56,2017-10-20 21:13:21,嘉義縣,太保市,魚仔,
No.57,2017-10-22 01:14:11,臺北市,中山區,帥氣的浣熊,
No.58,2017-10-22 14:21:39,苗栗縣,頭份市,李奕,
No.59,2017-10-22 17:26:40,臺中市,大雅區,陳藍天,
No.60,2017-10-22 17:47:27,雲林縣,北港鎮,島民,
No.61,2017-10-22 17:48:12,臺北市,萬華區,Leon,
