"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-24 00:50:48,高雄市,岡山區,成五,支持金融園區設在高雄亞洲新灣區
No.2,2017-11-24 04:16:38,高雄市,鹽埕區,Vincent,
No.3,2017-11-24 10:34:16,彰化縣,彰化市,黃核統,
No.4,2017-11-24 11:12:57,臺南市,學甲區,賢,
No.5,2017-11-24 11:50:03,臺北市,信義區,葉子,我願意友持附議。
No.6,2017-11-24 14:03:25,苗栗縣,大湖鄉,奕,
No.7,2017-11-24 14:33:43,高雄市,苓雅區,小積,
No.8,2017-11-24 14:35:08,臺東縣,臺東市,翠,
No.9,2017-11-24 14:41:53,高雄市,小港區,hkwei,支持
No.10,2017-11-24 14:43:33,臺中市,東區,Eva,
No.11,2017-11-24 14:44:17,高雄市,茂林區,李名哲,
No.12,2017-11-24 14:45:33,高雄市,前鎮區,阿財,
No.13,2017-11-24 14:51:09,高雄市,彌陀區,JingCheng,支持政經分離
No.14,2017-11-24 14:52:08,高雄市,三民區,馬克喬,
No.15,2017-11-24 14:59:58,高雄市,橋頭區,wilan,
No.16,2017-11-24 15:00:01,臺中市,西屯區,green,
No.17,2017-11-24 15:00:04,屏東縣,屏東市,葡萄E,"南部的就業薪資和勞動環境以及多元性就業機會 真的是慘不忍睹  

能夠說嘴的只剩下過往的光榮和相對平價廉價的美食和居住

但這留不住多數南部有抱負的年輕人 

這幾十年來南部人離鄉背井 為求好工作 跑去台北冒險擠3坪黑心違建頂加 

甚至背負高額房貸當房奴的不在少數

然後坐看北市有錢地主房東坐享國家人民勞動果實

雙北在地無長輩靠的有為年輕人也買不起自家區域房子 

人權何在?就業權何在?居住權何在?


這一切已不是首都所該背負的全台就業和社會責任

而是歷年國家區域發展不確實不通盤考量造成的後果


北市需要即刻減壓 而不該塞更多東西 投入更多不必要的國家資源 

首都或許不用南遷  但透過政府有遠見的區域發展規劃 

人民會更幸福!

我相信這才是好的政府!"
No.18,2017-11-24 15:00:29,高雄市,橋頭區,新一,
No.19,2017-11-24 15:02:49,高雄市,前鎮區,Kevin C.,"支持,不要再把好東西往那個小盆地擺了"
