"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-27 03:43:35,桃園市,桃園區,F,政府各級官員本就該秉持著清廉為守的態度來擔任公家職務。因為一但公私不分將是國家動盪和社會的亂源。
No.2,2017-07-27 08:24:32,高雄市,岡山區,SunnyJeng,
No.3,2017-07-27 08:54:31,高雄市,小港區,老孫,
No.4,2017-07-27 13:59:05,高雄市,三民區,瘋,支持
No.5,2017-07-27 19:10:32,高雄市,鳳山區,阿中,
No.6,2017-07-27 20:21:58,新北市,淡水區,陳麗玟,
No.7,2017-07-27 20:30:17,高雄市,三民區,楊小胖,
No.8,2017-07-27 21:48:29,新北市,汐止區,Goldie,
No.9,2017-07-27 21:56:07,苗栗縣,竹南鎮,linda,
No.10,2017-07-27 23:08:25,臺中市,西屯區,finta,若公家機關合法兼差，私人企業也要比照辦理，而且還要國家保障，雇主不得刁難⋯若大家都不務正業，整個社會運轉會有問題吧？此風不可長！
No.11,2017-07-28 00:45:35,高雄市,新興區,大貓,
No.12,2017-07-28 01:36:06,臺北市,大同區,阿邦,莫忘初衷。
No.13,2017-07-28 05:33:58,桃園市,桃園區,AndresTequilero,
