"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-20 18:32:20,臺中市,大里區,Kai,省錢又環保
No.2,2017-09-21 10:36:09,臺中市,南屯區,其人,甚至可以用LINE通知吧!!
No.3,2017-09-22 22:24:37,新北市,新莊區,nailo,
No.4,2017-09-24 13:21:35,臺北市,大安區,chwan1,
No.5,2017-09-27 06:45:43,臺北市,萬華區,allen,
No.6,2017-09-27 12:00:25,新竹縣,竹東鎮,forever,
No.7,2017-09-28 21:42:10,新北市,三重區,DAVID YU,
No.8,2017-09-30 14:51:31,臺北市,大安區,Jeff,
No.9,2017-10-09 22:54:20,新北市,中和區,葉小昕,
No.10,2017-10-20 20:38:09,高雄市,鳳山區,"GUO  ",
No.11,2017-10-22 12:20:06,臺北市,士林區,David,
No.12,2017-10-22 17:48:40,高雄市,鳳山區,Leon,
No.13,2017-10-22 21:22:28,彰化縣,二林鎮,Husker,
No.14,2017-10-23 14:27:25,高雄市,鹽埕區,方方,
No.15,2017-10-24 22:17:10,屏東縣,萬巒鄉,魯國國相,
No.16,2017-10-25 12:44:54,臺北市,中山區,文,
No.17,2017-10-25 21:56:38,嘉義縣,民雄鄉,熊,
No.18,2017-10-26 12:28:19,桃園市,龍潭區,Sin,
No.19,2017-10-28 00:37:36,彰化縣,溪州鄉,遊心,
