"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-13 11:54:16,新竹縣,湖口鄉,YH DAI,附議
No.2,2017-07-13 12:01:23,臺北市,萬華區,Ray,
No.3,2017-07-13 12:35:07,臺北市,中山區,Carlee,
No.4,2017-07-13 12:38:11,臺北市,內湖區,戴,
No.5,2017-07-13 12:44:10,臺中市,西屯區,Chih Tao,符合使用者付費原則
No.6,2017-07-13 16:20:11,臺北市,內湖區,阿葆,
No.7,2017-07-13 17:42:36,新北市,三重區,吳先生,
No.8,2017-07-13 17:44:08,臺中市,西區,喵喵喵喵喵喵喵喵喵喵,
No.9,2017-07-13 17:45:55,新北市,中和區,停車付費天經地義,
No.10,2017-07-13 17:47:12,桃園市,中壢區,Pedro Liao,支持合理的收取費用，使用者應當付費，避免公共資源被長期霸佔。
No.11,2017-07-13 17:48:28,高雄市,鳥松區,ㄊㄘ,
No.12,2017-07-13 17:48:47,新北市,永和區,Kung,
No.13,2017-07-13 17:49:29,臺北市,信義區,頁乘,
No.14,2017-07-13 17:50:02,彰化縣,員林鎮,霖,
No.15,2017-07-13 17:51:32,高雄市,三民區,林啟豐,
No.16,2017-07-13 17:56:33,嘉義縣,朴子市,Bwungan,
No.17,2017-07-13 17:56:40,新北市,新莊區,森里螢一,贊成，最好機車停車格比照汽車停車格按時計費。
No.18,2017-07-13 18:06:39,新北市,汐止區,danny sung,使用者付費天經地義
No.19,2017-07-13 18:10:07,桃園市,蘆竹區,台北工作的人,使用者收費天經地義
No.20,2017-07-13 18:13:35,臺中市,沙鹿區,Syuan,
No.21,2017-07-13 18:18:02,臺北市,大安區,JL,使用者付費
No.22,2017-07-13 18:25:49,臺南市,北區,Jackey Wang,
No.23,2017-07-13 18:28:51,臺北市,大安區,蝴蝶,
No.24,2017-07-13 18:29:41,臺北市,北投區,Cliff,
No.25,2017-07-13 18:35:20,臺中市,北屯區,命,使用者付費，天經地義。
No.26,2017-07-13 18:39:18,新北市,石碇區,見崎虛,
No.27,2017-07-13 18:47:08,高雄市,左營區,阿諾,
No.28,2017-07-13 18:54:12,新北市,新莊區,小灰灰,"使用者付費,要不然請騎到自行車格去啊,佔著毛坑不拉屎"
No.29,2017-07-13 19:01:00,臺北市,萬華區,MEOWLIKE,
No.30,2017-07-13 19:06:41,新北市,板橋區,廖翊安,
No.31,2017-07-13 19:06:59,新竹縣,新豐鄉,Adata,使用者付費
No.32,2017-07-13 19:09:38,臺東縣,臺東市,草葉遲,
