"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-22 02:02:18,臺中市,大肚區,五五,有些學生高中職畢業後就想工作賺錢可是都卡在現行法規需要滿20歲才能自行開辦戶頭，而且監護人並不是每個都可以排出時間陪孩子去開戶的
No.2,2017-04-22 23:17:46,桃園市,蘆竹區,lee,
No.3,2017-04-23 16:13:40,臺北市,大安區,raymondchu,
No.4,2017-04-23 20:42:29,臺南市,南區,郁珊,
No.5,2017-04-23 21:52:12,臺北市,中正區,阿銘,本身在銀行業服務，十分認同此提案。
No.6,2017-04-24 00:09:52,高雄市,左營區,佳佳,
No.7,2017-04-24 00:41:21,新北市,板橋區,雨陽嚴焰,
No.8,2017-04-24 10:10:46,新北市,三重區,Negaihoshi,我個人蠻同意下修的，不過這點並不容易，因為設牽涉到民法的年齡限制問題，我個人是認為民法修正到跟刑法一樣 18 歲也沒什麼問題就是了，一些因為經濟問題早就開始打工的人先不論，其實一般人打工大多也從大學開始，也有不少人不唸大學直接進入職場，但民法限制在 20 歲，導致開戶等等的困難，還需要監護人處理，有時候在外地真的非常麻煩，法律應該要隨著時空環境而變動，我認為現在正是需要變更的時候
No.9,2017-04-24 11:25:05,彰化縣,埔心鄉,CUN YAN,
No.10,2017-04-24 13:42:25,臺南市,東區,heal mic,
No.11,2017-04-24 14:03:07,臺中市,南屯區,非天,
No.12,2017-04-29 11:11:50,南投縣,草屯鎮,德克斯特,
No.13,2017-05-01 13:31:58,新北市,中和區,冠廷,"如李所述，現今社會18歲已在外打工及求學獨立生活的人非常的多，若只是連開戶存款或修改資料、申請服務等都需要監護人陪同辦理，一來在外地居住要等待回鄉才能辦理相當不便。
二來，現今社會18歲已具有基本金錢認知，且下修後也能培養儲蓄及銀行業務等認知。
惟信用卡貸款等業務仍維持20歲限制。"
No.14,2017-05-01 13:47:19,高雄市,楠梓區,JungR,
No.15,2017-05-06 14:48:57,臺北市,大安區,康至青,
No.16,2017-05-19 16:50:12,桃園市,中壢區,霞光聖潔,
