"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-15 13:49:50,臺中市,西屯區,CHENGCC,
No.2,2018-03-15 13:50:47,臺中市,大里區,nico,"非常支持,這樣才能真正減少塑膠袋使用量"
No.3,2018-03-15 13:51:25,臺中市,南區,Can,贊成!
No.4,2018-03-15 13:52:53,臺中市,沙鹿區,王志中,
No.5,2018-03-15 13:53:14,臺中市,北區,winnie,支持~不要讓環保的美意變成商人賺錢的方式！
No.6,2018-03-15 13:53:48,臺中市,西屯區,Lawrence,支持
No.7,2018-03-15 13:53:52,臺中市,西屯區,audi,
No.8,2018-03-15 13:56:13,新北市,三重區,Chiaowei,支持
No.9,2018-03-15 14:02:26,彰化縣,和美鎮,MOON0606,
No.10,2018-03-15 14:15:48,臺中市,北屯區,阿顯,
No.11,2018-03-15 14:48:14,臺中市,南區,Chingju,
No.12,2018-03-15 15:04:22,高雄市,楠梓區,正義人士,
No.13,2018-03-15 15:32:55,臺中市,北區,Chloe Chang,支持環保理念
No.14,2018-03-15 15:35:08,新北市,蘆洲區,Sabrina,
No.15,2018-03-15 15:50:54,新北市,永和區,JENNY,
No.16,2018-03-15 15:55:51,臺北市,士林區,Emma Wang,附議
No.17,2018-03-15 16:22:21,桃園市,楊梅區,橙,👍
No.18,2018-03-15 16:46:29,臺中市,西屯區,Tinny,支持!
No.19,2018-03-15 16:52:08,彰化縣,彰化市,核統,
No.20,2018-03-15 17:26:35,臺中市,潭子區,豹子,
No.21,2018-03-15 17:53:40,桃園市,大溪區,t,
No.22,2018-03-15 18:27:57,彰化縣,和美鎮,Ent,
No.23,2018-03-15 19:08:58,高雄市,岡山區,阿賢,贊成
No.24,2018-03-15 19:12:28,新竹市,香山區,Bethany,此建議可增加國家稅收來源，避免相關業者圖利。
No.25,2018-03-15 19:16:47,新竹市,北區,hsin,
No.26,2018-03-15 19:19:53,臺南市,新營區,Maggie,
No.27,2018-03-15 19:24:33,臺南市,安南區,李大象,
No.28,2018-03-15 20:02:17,新竹縣,竹北市,"Julia ",
No.29,2018-03-15 20:26:08,臺中市,北區,Orion,
No.30,2018-03-15 21:08:11,新北市,中和區,Lily,
No.31,2018-03-15 21:24:23,臺中市,西屯區,洲,
No.32,2018-03-15 21:26:11,基隆市,中正區,梅子,
No.33,2018-03-15 21:30:52,臺中市,東區,小綠,環保要做就不要做半套，現在塑膠袋一塊超無感
No.34,2018-03-15 21:38:14,臺中市,南屯區,TC Chen,
No.35,2018-03-15 21:50:44,新北市,中和區,江,
No.36,2018-03-15 22:39:31,臺中市,北區,祥,支持
No.37,2018-03-15 23:23:25,臺中市,龍井區,JJ,
No.38,2018-03-15 23:26:18,臺北市,大安區,RC,
No.39,2018-03-15 23:42:05,臺中市,北屯區,amy434563,
No.40,2018-03-16 00:58:13,臺中市,南區,Tzu,
No.41,2018-03-16 11:40:21,臺中市,沙鹿區,黃近來,
No.42,2018-03-16 12:27:49,高雄市,楠梓區,wanlynn,
No.43,2018-03-16 12:43:57,臺中市,沙鹿區,TaChen,
No.44,2018-03-16 13:04:06,臺東縣,延平鄉,陳虹鳳,
No.45,2018-03-16 13:22:39,臺中市,大甲區,Coco,
No.46,2018-03-16 13:49:19,臺北市,信義區,慧芳,
No.47,2018-03-16 15:22:53,臺中市,沙鹿區,紫媽,
No.48,2018-03-16 15:54:21,臺北市,南港區,小花,
No.49,2018-03-16 16:06:43,臺中市,沙鹿區,張立人,會造成環境汙染的，都應該額外課稅，取得過於容易，都不會太珍惜資源。
No.50,2018-03-16 18:48:33,新北市,板橋區,Kyle,
No.51,2018-03-16 20:05:16,臺中市,潭子區,旺來,支持課徵環保稅，不要讓店家多賺
No.52,2018-03-16 20:09:34,臺中市,太平區,Sl,
No.53,2018-03-16 20:17:51,臺中市,西區,冠冠,
No.54,2018-03-16 20:59:41,新北市,三峽區,Tonybio,
No.55,2018-03-16 21:43:01,臺中市,神岡區,Janejane,
No.56,2018-03-16 21:50:11,新北市,汐止區,Bruce Hu,
No.57,2018-03-16 21:58:03,臺中市,北區,May8888,很有意義的想法
No.58,2018-03-17 07:31:59,臺南市,東區,亨,
No.59,2018-03-17 14:56:57,基隆市,安樂區,Oscar huang,
No.60,2018-03-17 16:24:24,新北市,新店區,李佳,
No.61,2018-03-18 15:37:48,宜蘭縣,宜蘭市,Kcc,
No.62,2018-03-18 23:24:44,南投縣,名間鄉,Percy,大家到現在都還肆無忌憚使用塑膠袋，就是因為塑膠袋太便宜。提高一個塑膠袋的連帶價格到10元以上的確有效果，但問題是無法管控到傳統市場等非連鎖的個體銷售戶，除非從塑膠製造來源一併課徵，否則還是會存在很多漏洞。
No.63,2018-03-19 10:49:14,新北市,永和區,fifi,
No.64,2018-03-19 13:19:45,臺北市,大安區,Kevin,
No.65,2018-03-19 15:14:14,新北市,板橋區,Miko Hua,
No.66,2018-03-19 16:11:02,宜蘭縣,羅東鎮,Jocelyn,

