"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-23 09:56:13,屏東縣,九如鄉,舞獅,
No.2,2018-01-23 10:42:57,基隆市,仁愛區,晨萱,
No.3,2018-01-23 14:57:38,彰化縣,伸港鄉,養樂多好苦,"相信我~該提案又會被政府打槍，簡單說
酒駕肇事，沒有撞死政府高層高官，都不會正式，狗民黨跟民進黨都一樣。"
No.4,2018-01-23 16:49:22,臺南市,安南區,劉錦麟,
No.5,2018-01-23 19:36:52,桃園市,桃園區,Ede,
No.6,2018-01-24 11:23:42,臺中市,南屯區,若水,
No.7,2018-01-24 11:35:21,新北市,蘆洲區,烏瑪姬,
No.8,2018-01-24 11:38:58,高雄市,鳳山區,香草,
No.9,2018-01-24 12:10:26,臺北市,文山區,Sabrinaliang,"酒駕真的害人害己
不是為了懲罰而懲罰，是為了不要再有憾事發生"
No.10,2018-01-24 15:58:04,新北市,汐止區,chien,
No.11,2018-01-24 18:28:20,臺南市,北區,Amber,

