"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-08 00:23:54,臺中市,北區,志傑,我全力支持本提案
No.2,2017-12-08 12:13:11,臺中市,西屯區,Linlin,支持本提議
No.3,2017-12-08 12:13:15,臺中市,北屯區,jessica,拾得100元以下財物，歸拾得人所有~
No.4,2017-12-08 12:19:22,彰化縣,彰化市,兜兜,贊成~
No.5,2017-12-08 12:49:02,臺中市,北屯區,蘋果,贊成
No.6,2017-12-08 13:28:58,臺中市,大肚區,阿宏,讚同
No.7,2017-12-08 13:56:17,新北市,板橋區,可以啊,
No.8,2017-12-08 14:30:08,臺中市,北屯區,量仔,
No.9,2017-12-08 14:45:23,臺中市,南區,林逸翎,
No.10,2017-12-08 15:01:43,新北市,樹林區,Lin,支持
No.11,2017-12-08 15:06:12,臺北市,大安區,老司機,
No.12,2017-12-08 15:21:51,臺中市,大雅區,Cindy,
No.13,2017-12-08 15:24:22,臺中市,北屯區,小潘,
No.14,2017-12-08 15:53:56,新竹縣,芎林鄉,小俱利我老公,我最近看了一個新聞 是說派出所裡面的警察 因為太多學生送來十塊、二十塊的零錢 讓他們還必須特別為那些零錢建立資料尋找失主 他們因此覺得困擾 我覺得只是為了那少少的幾塊錢(失主說不定根本不在意的財產) 就要警察這麼辛苦地做這些事 感覺效率不是很高
No.15,2017-12-08 16:13:04,臺中市,北屯區,Emily Chen,贊成本提議，並但書說明；遺失物者若不在遺失物現場.
No.16,2017-12-08 17:46:06,臺中市,豐原區,碳碳,支持！讓警方專心在更專業的刑案上。
No.17,2017-12-08 18:01:33,臺中市,沙鹿區,飛龍,警察人員要做的事已包山包海，應減少警察人員不必要的勤業務及與警察不相關的業務
No.18,2017-12-08 18:02:46,苗栗縣,竹南鎮,鍾小翔,支持簡化100元以下拾得物的報案
No.19,2017-12-08 18:05:06,臺中市,太平區,蜜蜂,節省紙張救環保
No.20,2017-12-08 18:06:45,臺中市,北屯區,K9,減少行政負擔，別且可提升行政效率。
No.21,2017-12-08 18:07:39,臺中市,清水區,筱若,個人認為500元以下即取得拾得物所有權，但具有個人資料證件等物品不在此限！！
No.22,2017-12-08 18:11:52,臺中市,烏日區,Don,
No.23,2017-12-08 18:16:56,臺中市,北屯區,560,
No.24,2017-12-08 18:22:46,臺中市,西屯區,陳淑彥,
No.25,2017-12-08 18:40:19,臺中市,北屯區,年義,
No.26,2017-12-08 18:58:23,彰化縣,埔鹽鄉,胡老闆,
No.27,2017-12-08 19:05:28,桃園市,大園區,尹希,
No.28,2017-12-08 19:07:47,臺中市,烏日區,艾喜花,沒有
No.29,2017-12-08 19:33:24,臺中市,烏日區,皮皮,
No.30,2017-12-08 20:16:06,臺中市,神岡區,特特,
No.31,2017-12-08 22:00:34,高雄市,鼓山區,Hyf,精簡警察業務 提升警政效率
No.32,2017-12-08 22:24:42,高雄市,苓雅區,安仔911,贊成100元以下，免送交警察機關。
No.33,2017-12-08 22:39:59,臺中市,北屯區,阿亂,
No.34,2017-12-09 02:16:22,新北市,樹林區,ㄎㄎ,
No.35,2017-12-09 08:54:45,屏東縣,屏東市,恩恩,
No.36,2017-12-09 10:19:02,臺中市,南屯區,陳惠菁,
No.37,2017-12-09 12:33:26,花蓮縣,花蓮市,LUNA,我建議500以上
No.38,2017-12-09 15:27:13,新北市,三峽區,akina,
No.39,2017-12-09 18:11:23,臺中市,中區,書蟲,
No.40,2017-12-09 20:53:43,臺北市,北投區,LIN ROBERT,
No.41,2017-12-10 13:04:19,新北市,汐止區,阿翔仔,資源花在刀口上
No.42,2017-12-10 23:41:03,臺南市,下營區,月,
No.43,2017-12-12 20:50:12,彰化縣,彰化市,黃核統,
No.44,2017-12-12 21:49:54,嘉義市,東區,臺灣,
No.45,2017-12-12 23:03:03,新北市,三重區,playgamenow,
No.46,2017-12-17 21:53:24,花蓮縣,吉安鄉,LKK,贊成。
No.47,2017-12-18 16:49:33,新北市,汐止區,小宇,連撿到10元都要讓警察受理的話，光是紙張、人力成本都遠高於拾得價值。
No.48,2017-12-18 16:51:10,臺北市,內湖區,茜,
No.49,2017-12-18 17:17:02,新北市,新店區,蕭泓家,浪費社會成本
No.50,2017-12-18 18:15:10,屏東縣,屏東市,LWL,
No.51,2017-12-18 21:08:34,基隆市,信義區,天真的燒肉,讚
No.52,2018-01-07 18:41:04,彰化縣,北斗鎮,張小明,"非常贊成
減少基層員警的工作負擔
也避免掉民眾拾到低價值的遺失物
還要再跑一趟警察局的麻煩
造成與其撿到不如假裝沒看到的窘境"

