"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-08-10 00:47:12,桃園市,龜山區,Al.Y,強制大型車輛裝設倒車顯影及轉彎顯影系統，可以減少因人為不可避免因素（好比視線死角）造成更多交通事故/傷亡的發生，可透過安裝補助使大型車（公司及團體）成為使用推廣對象
No.2,2017-08-10 01:12:46,彰化縣,大村鄉,Jaguar chen,
No.3,2017-08-10 03:46:06,新北市,蘆洲區,CC,
No.4,2017-08-10 07:44:15,臺北市,士林區,發哥,
No.5,2017-08-10 08:12:01,新北市,淡水區,hope,
No.6,2017-08-10 08:52:54,新北市,鶯歌區,刑症擲,
No.7,2017-08-10 09:03:54,臺北市,北投區,Paul,
No.8,2017-08-10 09:06:21,高雄市,鳳山區,wei,
No.9,2017-08-10 09:31:58,桃園市,中壢區,蝦蝦,
No.10,2017-08-10 09:36:04,苗栗縣,竹南鎮,林小兔,
No.11,2017-08-10 09:42:20,基隆市,仁愛區,輔仔,保護自己，也注意他人安全
No.12,2017-08-10 09:47:46,彰化縣,溪湖鎮,鐘小姐,
No.13,2017-08-10 09:54:00,臺北市,中山區,丁丁,
No.14,2017-08-10 10:10:08,高雄市,三民區,馬汀,"有鑑於大貨車駕駛開車隨便,都以無法注意左右側為由放任其他人生命安全於生死度外,既然無法注意那就應該強制加裝安全設備"
No.15,2017-08-10 10:57:15,臺中市,大里區,Claire,保障安全
No.16,2017-08-10 10:58:52,臺北市,內湖區,JHuang,I support this intiatives!
No.17,2017-08-10 11:04:04,臺南市,南區,杜碩碩,
No.18,2017-08-10 11:08:32,臺北市,文山區,秉瑜,
No.19,2017-08-10 11:08:45,臺北市,松山區,雄大,
No.20,2017-08-10 11:10:11,臺中市,大里區,AllenYu,
No.21,2017-08-10 11:11:59,新北市,板橋區,sinway,完全認同!
