"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-30 21:27:11,臺南市,七股區,陳正勝,
No.2,2017-12-31 01:42:34,高雄市,鹽埕區,Vincent,
No.3,2018-01-02 09:18:19,新北市,汐止區,王小花,
No.4,2018-01-02 11:04:27,臺中市,大里區,喬治,
No.5,2018-01-03 15:49:10,南投縣,草屯鎮,流亡中華台北要去金馬,
No.6,2018-01-05 06:02:35,桃園市,平鎮區,錯了就要認,
No.7,2018-01-06 21:00:40,新北市,樹林區,意麵,
No.8,2018-01-07 10:43:02,新北市,新店區,黑馬,
No.9,2018-01-14 10:46:35,臺中市,烏日區,Vup,
No.10,2018-02-18 20:04:05,高雄市,鼓山區,謝宗燁,"https://join.gov.tw/idea/detail/4945b27e-c5ae-46d8-97c0-443b1507f499
請支持本人的提案"

