"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-30 11:31:22,高雄市,三民區,秦始皇,
No.2,2018-01-30 12:06:07,基隆市,安樂區,nell,
No.3,2018-01-30 12:07:31,新北市,板橋區,Iceman,
No.4,2018-01-30 12:08:15,臺北市,南港區,小雞,每每出國需要自駕總是要再跑一趟監理處花錢申請一張國際駕照，往往下次要再出國自駕國際駕照又過期又需要重瓣，看著外國朋友一張ID就可以搞定好生羨慕，若台灣的駕照能有中/英文版，不僅可以省錢又環保
No.5,2018-01-30 12:08:16,新北市,板橋區,湘,
No.6,2018-01-30 12:09:30,臺北市,中正區,Jolene,
No.7,2018-01-30 12:09:51,桃園市,龍潭區,謝小緹,
No.8,2018-01-30 12:28:04,新北市,三重區,麗華,
No.9,2018-01-30 12:28:26,臺南市,安平區,Ellie,"台灣駕照拿去加拿大度假打工，必須拿去辦事處，國際駕照派不上用場，還需花五百元台幣""自己""寫成英文格式"
No.10,2018-01-30 12:58:58,彰化縣,和美鎮,Cherry,
No.11,2018-01-30 13:01:21,桃園市,龜山區,"Daniel ",
No.12,2018-01-30 13:06:15,桃園市,龍潭區,Yi,
No.13,2018-01-30 13:26:12,新北市,泰山區,臻臻,
No.14,2018-01-30 13:30:05,新北市,中和區,Vita,
No.15,2018-01-30 13:35:12,新北市,板橋區,Carine,
No.16,2018-01-30 14:07:09,臺北市,信義區,Shan,
No.17,2018-01-30 14:15:21,臺北市,松山區,bigcone,便民
No.18,2018-01-30 15:03:08,臺北市,中正區,藤和艾利歐,同意
No.19,2018-01-30 15:09:43,新北市,三重區,grass,
No.20,2018-01-30 17:15:07,臺中市,大里區,Archer,
No.21,2018-01-30 17:24:52,新竹縣,竹北市,Sanfy,
No.22,2018-01-30 19:14:19,新北市,蘆洲區,碧麗茱,無

