"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-16 07:32:46,南投縣,信義鄉,支持,【特殊境遇家庭補助審核條件應該與時俱進】，你說的對，但是你的台灣政府卻認為【錢從哪裡來】這思維邏輯困了60幾年了，他們不知道錢該從哪裡來卻個個跑去當官設法圖利自己友好商業跟組織...嚴重的甚至貪汙，政府卻不知道錢該從哪裡來，事不關己時就不知道，當政府官員要圖利自己時候他卻又知道答案，你提的是好事..但是台灣邏輯還在60年前所以他們解不開邏輯配套..然後只好從人民加稅開始
No.2,2018-01-17 10:47:11,臺北市,南港區,小花,
No.3,2018-01-19 00:55:42,新北市,金山區,游先生,特殊境遇家庭補助本是立意良善之舉，但近年來受限於房屋土地等不動產之價值變動，致使許多真正需要幫助的家庭錯失機會，因此本人附議此項提案，希望未來的特殊境遇家庭在申請相關補助時各公所承辦人員可以放寬部分條件及搭配實質查訪，以求真正該需要幫助的家庭可以得到協助!
No.4,2018-01-19 13:52:41,高雄市,阿蓮區,阿貴,支持
No.5,2018-01-19 18:52:43,高雄市,鳳山區,Grace,
No.6,2018-01-20 15:01:35,新北市,三重區,Vagabond,
No.7,2018-01-22 18:36:07,桃園市,桃園區,阿智,
No.8,2018-01-24 00:21:10,新北市,三重區,迷你馬兒,
No.9,2018-01-24 16:03:01,臺中市,大里區,Zero,
No.10,2018-01-29 02:17:57,高雄市,楠梓區,zephoenixro,
No.11,2018-02-02 20:59:33,高雄市,路竹區,嘎嘎,
No.12,2018-02-15 12:25:58,屏東縣,枋山鄉,bin,
No.13,2018-02-15 16:10:22,高雄市,小港區,小芸芸,
No.14,2018-02-17 14:42:12,苗栗縣,竹南鎮,"LADAKHSTONE ",
No.15,2018-03-06 17:31:46,桃園市,蘆竹區,克魯尼,

