"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-13 09:11:44,苗栗縣,竹南鎮,Glory,
No.2,2018-01-13 14:25:11,新竹縣,竹東鎮,Kent,
No.3,2018-01-13 19:55:36,新竹市,北區,路不平,
No.4,2018-01-14 14:30:09,臺南市,西港區,豪,
No.5,2018-01-14 22:23:23,臺北市,文山區,鹹酥雞,
No.6,2018-01-15 09:33:57,高雄市,楠梓區,zephoenixro,
No.7,2018-01-15 11:00:38,新北市,泰山區,Terence Chen,
No.8,2018-01-15 15:15:43,新北市,淡水區,段友華,
No.9,2018-01-15 16:17:22,臺東縣,臺東市,彭瑜,
No.10,2018-01-15 21:28:26,臺中市,神岡區,馮先生,
No.11,2018-01-15 22:01:25,新北市,新店區,小柴,
No.12,2018-01-16 12:15:49,桃園市,八德區,Jason,台灣舖設路面相關規則，早該好好修正，別再讓承包商偷工減料，只會害到用路人，政府也睜一隻眼閉一隻眼的。要承包商好好舖路是不可能，只能從法規、規則去規定它遵守。
No.13,2018-01-19 14:11:27,嘉義縣,中埔鄉,Chiau,
No.14,2018-01-19 23:49:10,臺南市,東區,Jolla,
No.15,2018-01-20 15:01:26,新北市,三重區,Vagabond,

