"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-05-02 08:06:03,基隆市,暖暖區,Mary,
No.2,2017-05-02 10:56:54,臺中市,北區,Wen Tai,"希望可以增加告知學生及家長相關規定之義務規範，並且不設限學生年齡，即以師生間不對等權力關係為主要訴求點。
http://join.gov.tw/idea/detail/37518ea5-a425-4d3c-81c0-7947c78b4d56"
No.3,2017-05-02 11:43:33,臺南市,永康區,RR,教育工作這應該有的規範
No.4,2017-05-02 12:39:28,臺北市,內湖區,Jack,
No.5,2017-05-02 13:39:12,臺中市,西區,大頭寶,狼師都下地獄去吧
No.6,2017-05-02 13:48:11,高雄市,鳳山區,Tsai,
No.7,2017-05-02 13:51:25,桃園市,平鎮區,Lambert,教育工作者因擁有職權上的權力，應該要背負更大的責任，因職務之便而行犯罪之實，應予以加重刑責。
No.8,2017-05-02 14:00:45,臺南市,永康區,Shane,
No.9,2017-05-02 14:07:31,新北市,三峽區,Monkey,教育工作者(學校老師/補習班老師)與未滿18歲學生發生性關係應該強制定罪
No.10,2017-05-02 14:14:20,桃園市,楊梅區,Michelle,
No.11,2017-05-02 15:03:59,新北市,泰山區,Aje,"教育工作者(學校老師/補習班老師)與未滿18歲學生發生性關係應該強制定罪!!!!!
不能讓這種人危害我們的下一代！"
No.12,2017-05-02 15:28:20,臺中市,北區,anna,
No.13,2017-05-02 15:29:39,臺北市,中山區,Roger,
No.14,2017-05-02 15:33:27,新北市,中和區,tt,
No.15,2017-05-02 15:58:22,新北市,土城區,車車,
No.16,2017-05-02 17:55:14,高雄市,梓官區,胡,
No.17,2017-05-02 18:18:12,新北市,中和區,Tina Chen,
No.18,2017-05-02 18:25:12,臺中市,南區,星辰,
No.19,2017-05-02 19:19:46,新北市,新莊區,帆帆,
No.20,2017-05-02 19:32:18,桃園市,蘆竹區,勇者波波,
No.21,2017-05-02 19:43:44,雲林縣,莿桐鄉,Frank,
No.22,2017-05-02 19:45:49,臺北市,內湖區,Karen,
No.23,2017-05-02 19:45:49,宜蘭縣,員山鄉,Leo,
No.24,2017-05-02 20:25:52,新北市,新店區,lucus,很好提案
